timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Осадки (достигают поверхности земли)
1592928000,"Вторник, 23 июня
16:00 (UTC)",,,,,,,,,,36.6,,,северо-западный,,,,2,,,,,,,,,,,751,,22.1,,,,,,,,
1592931600,"Вторник, 23 июня
17:00 (UTC)",,,,,,,,,,47.8,,,северо-западный,,,,2,,,,,,,,,,,751,,19.9,,,,,,,,
1592935200,"Вторник, 23 июня
18:00 (UTC)",,,,,,,,,,53.8,,,северо-западный,,,,1,,,,,,,,,,10.0,751,,18.0,,,,,,2.0,,
1592938800,"Вторник, 23 июня
19:00 (UTC)",,,,,,,,,,74.3,,,,,,,0,,,,,,,,,,,751,,14.2,,,,,,,,
1592942400,"Вторник, 23 июня
20:00 (UTC)",,,,,,,,,,77.7,,,северо-западный,,,,1,,,,,,,,,,,751,,12.8,,,,,,,,
1592946000,"Вторник, 23 июня
21:00 (UTC)",,,,,,,,,,84.6,,,,,,,0,,,,,,,,,,10.0,751,,11.3,,,,,,2.0,,
1592949600,"Вторник, 23 июня
22:00 (UTC)",,,,,,,,,,89.2,,,,,,,0,,,,,,,,,,,751,,10.3,,,,,,,,
1592953200,"Вторник, 23 июня
23:00 (UTC)",,,,,,,,,,88.6,,,северо-западный,,,,1,,,,,,,,,,,751,,9.8,,,,,,,,
1592956800,"Среда, 24 июня
00:00 (UTC)",,,,,,,,,,82.3,,,западный,,,,1,,,,,,,,,,10.0,751,,10.8,,,,,,1.0,,
1592960400,"Среда, 24 июня
01:00 (UTC)",,,,,,,,,,84.4,,,,,,,0,,,,,,,,,,,751,,9.7,,,,,,,,
1592964000,"Среда, 24 июня
02:00 (UTC)",,,,,,,,,,88.1,,,юго-западный,,,,1,,,,,,,,,,,752,,11.0,,,,,,,,
1592967600,"Среда, 24 июня
03:00 (UTC)",,,,,,,,,,74.5,,9.2,западный,,,,1,,,0,,0,,,,,10.0,752,,15.1,,,,,,0.0,,
1592971200,"Среда, 24 июня
04:00 (UTC)",,,,,,,,,,69.2,,,северо-западный,,,,2,,,,,,,,,,,752,,17.4,,,,,,,,
1592974800,"Среда, 24 июня
05:00 (UTC)",,,,,,,,,,65.6,,,северо-западный,,,,3,,,,,,,,,,,752,,19.4,,,,,,,,
1592978400,"Среда, 24 июня
06:00 (UTC)",,,,,,,,,,48.1,,,северный,,,,5,,,,,,,,,,10.0,752,,21.1,,,,,,0.0,,
1592982000,"Среда, 24 июня
07:00 (UTC)",,,,,,,,,,51.7,,,северный,,,,5,,,,,,,,,,,753,,20.8,,,,,,,,
1592985600,"Среда, 24 июня
08:00 (UTC)",,,,,,,,,,44.7,,,северный,,,,5,,,,,,,,,,,753,,21.1,,,,,,,,
1592989200,"Среда, 24 июня
09:00 (UTC)",,10.0,,,,,,,,37.9,,,северный,,,,4,,,,,,,,,,10.0,754,,21.0,,,,,,4.0,,
1592992800,"Среда, 24 июня
10:00 (UTC)",,12.0,,,,,,,,36.1,,,северо-западный,,,,6,,,,,,,,,,,754,,21.2,,,,,,,,
1592996400,"Среда, 24 июня
11:00 (UTC)",,12.0,,,,,,,,33.0,,,северный,,,,6,,,,,,,,,,,754,,21.2,,,,,,,,
1593000000,"Среда, 24 июня
12:00 (UTC)",,12.0,,,,,,,,30.1,,,северный,,,,7,,,,,,,,,,10.0,754,,21.0,,,,,,0.0,,
1593003600,"Среда, 24 июня
13:00 (UTC)",,12.0,,,,,,,,31.8,,,северный,,,,5,,,,,,,,,,,754,,20.9,,,,,,,,
1593007200,"Среда, 24 июня
14:00 (UTC)",,,,,,,,,,32.2,,,северный,,,,6,,,,,,,,,,,754,,20.9,,,,,,,,
1593010800,"Среда, 24 июня
15:00 (UTC)",,12.0,,,,,,,,26.4,,,северный,,,21.5,7,,,0,,,,,,,10.0,755,,20.4,,,,,,0.0,,
1593014400,"Среда, 24 июня
16:00 (UTC)",,,,,,,,,,29.8,,,северный,,,,5,,,,,,,,,,,755,,19.5,,,,,,,,
1593018000,"Среда, 24 июня
17:00 (UTC)",,,,,,,,,,33.6,,,северный,,,,4,,,,,,,,,,,755,,18.5,,,,,,,,
1593021600,"Среда, 24 июня
18:00 (UTC)",,11.0,,,,,,,,41.9,,,северный,,,,3,,,,,,,,,,10.0,756,,16.8,,,,,,0.0,,
1593025200,"Среда, 24 июня
19:00 (UTC)",,,,,,,,,,49.8,,,северный,,,,2,,,,,,,,,,,756,,15.0,,,,,,,,
1593028800,"Среда, 24 июня
20:00 (UTC)",,,,,,,,,,57.5,,,северный,,,,1,,,,,,,,,,,756,,13.2,,,,,,,,
1593032400,"Среда, 24 июня
21:00 (UTC)",,,,,,,,,,78.2,,,северо-западный,,,,2,,,,,,,,,,10.0,757,,9.4,,,,,,0.0,,
1593036000,"Среда, 24 июня
22:00 (UTC)",,,,,,,,,,81.4,,,северо-западный,,,,1,,,,,,,,,,,757,,8.3,,,,,,,,
1593039600,"Среда, 24 июня
23:00 (UTC)",,,,,,,,,,87.1,,,,,,,0,,,,,,,,,,,757,,7.4,,,,,,,,
1593043200,"Четверг, 25 июня
00:00 (UTC)",,,,,,,,,,91.4,,,,,,,0,,,,,,,,,,10.0,757,,6.4,,,,,,2.0,,
1593046800,"Четверг, 25 июня
01:00 (UTC)",,,,,,,,,,92.6,,,,,,,0,,,,,,,,,,,757,,5.6,,,,,,,,
1593050400,"Четверг, 25 июня
02:00 (UTC)",,,,,,,,,,92.7,,,западный,,,,1,,,,,,,,,,,757,,6.9,,,,,,,,
1593054000,"Четверг, 25 июня
03:00 (UTC)",,,,,,,,,,87.9,,5.3,западный,,,,1,,,0,,0,,,,,10.0,757,,9.1,,,,,,7.0,,
1593057600,"Четверг, 25 июня
04:00 (UTC)",,,,,,,,,,77.0,,,северо-западный,,,,2,,,,,,,,,,,757,,12.1,,,,,,,,
1593061200,"Четверг, 25 июня
05:00 (UTC)",,,,,,,,,,69.8,,,северо-западный,,,,2,,,,,,,,,,,757,,13.5,,,,,,,,
1593064800,"Четверг, 25 июня
06:00 (UTC)",,,,True,,,,,,77.7,,,северо-западный,,,,2,,,,,,,,,,10.0,757,,13.2,,,,,,10.0,,
1593068400,"Четверг, 25 июня
07:00 (UTC)",,,,,,,,,,79.9,,,западный,,,,1,,,,,,,,,,,757,,13.4,,,,,,,,
1593072000,"Четверг, 25 июня
08:00 (UTC)",,,,,,,,,,74.3,,,юго-восточный,,,,1,,,,,,,,,,,757,,14.1,,,,,,,,
1593075600,"Четверг, 25 июня
09:00 (UTC)",,,,True,,,,,,86.5,,,юго-восточный,,,,2,,,,,,,,,,10.0,756,,13.3,,,,,,10.0,,
1593079200,"Четверг, 25 июня
10:00 (UTC)",,,,,,,,,,88.8,,,южный,,,,2,,,,,,,,,,,756,,13.2,,,,,,,,
1593082800,"Четверг, 25 июня
11:00 (UTC)",,,,,,,,,,83.1,,,южный,,,,1,,,,,,,,,,,756,,13.4,,,,,,,,
1593086400,"Четверг, 25 июня
12:00 (UTC)",,,,,,,,,,83.2,,,южный,,,,2,,,,,,True,,,,10.0,756,,13.8,,,,,,10.0,,
1593090000,"Четверг, 25 июня
13:00 (UTC)",,,,,,,,,,73.7,,,,,,,0,,,,,,,,,,,755,,16.5,,,,,,,,
1593093600,"Четверг, 25 июня
14:00 (UTC)",,,,,,,,,,70.1,,,западный,,,,1,,,,,,,,,,,755,,17.6,,,,,,,,
1593097200,"Четверг, 25 июня
15:00 (UTC)",,,,,,,,,,70.1,,,северный,,,17.6,2,,,3,,,,,,,10.0,755,,17.5,,,,,,7.0,,
1593100800,"Четверг, 25 июня
16:00 (UTC)",,,,,,,,,,74.3,,,северный,,,,4,,,,,,,,,,,755,,16.9,,,,,,,,
1593104400,"Четверг, 25 июня
17:00 (UTC)",,,,,,,,,,75.1,,,северный,,,,3,,,,,,,,,,,755,,16.1,,,,,,,,
1593108000,"Четверг, 25 июня
18:00 (UTC)",,,,,,,,,,77.5,,,северный,,,,2,,,,,,,,,,10.0,756,,14.9,,,,,,7.0,,
1593111600,"Четверг, 25 июня
19:00 (UTC)",,,,,,,,,,91.1,,,северо-западный,,,,1,,,,,,,,,,,756,,11.7,,,,,,,,
1593115200,"Четверг, 25 июня
20:00 (UTC)",,,,,,,,,,92.9,,,северный,,,,1,,,,,,,,,,,756,,11.4,,,,,,,,
1593118800,"Четверг, 25 июня
21:00 (UTC)",,,,,,,,,,93.5,,,северо-западный,,,,1,,,,,,,,,,4.0,756,,10.2,,,,True,,2.0,,
1593122400,"Четверг, 25 июня
22:00 (UTC)",,,,,,,,,,93.5,,,северо-западный,,,,1,,,,,,,,,,,756,,10.1,,,,,,,,
1593126000,"Четверг, 25 июня
23:00 (UTC)",,,,,,,,,,94.8,,,северо-западный,,,,1,,,,,,,,,,,757,,9.7,,,,,,,,
1593129600,"Пятница, 26 июня
00:00 (UTC)",,,,,,,,,,94.1,,,северо-западный,,,,1,,,,,,,,,,0.0,757,,10.0,,,,,True,2.0,,
1593133200,"Пятница, 26 июня
01:00 (UTC)",,,,,,,,,,94.1,,,северный,,,,1,,,,,,,,,,,757,,10.0,,,,,,,,
1593136800,"Пятница, 26 июня
02:00 (UTC)",,,,,,,,,,94.8,,,северо-западный,,,,1,,,,,,,,,,,757,,10.4,,,,,,,,
1593140400,"Пятница, 26 июня
03:00 (UTC)",,,True,,,,,,,94.9,,9.2,северо-западный,,,,1,,,0,,3,,,,,10.0,757,,12.8,,,,,,6.0,,
1593144000,"Пятница, 26 июня
04:00 (UTC)",,,,,,,,,,88.4,,,северо-западный,,,,2,,,,,,,,,,,757,,15.2,,,,,,,,
1593147600,"Пятница, 26 июня
05:00 (UTC)",,,,,,,,,,72.9,,,северо-западный,,,,2,,,,,,,,,,,757,,17.4,,,,,,,,
1593151200,"Пятница, 26 июня
06:00 (UTC)",,,,,,,,,,53.0,,,северный,,,,2,,,,,,,,,,10.0,757,,19.3,,,True,,,4.0,,
1593154800,"Пятница, 26 июня
07:00 (UTC)",,,,,,,,,,40.4,,,северный,,,,3,,,,,,,,,,,757,,20.5,,,,,,,,
1593158400,"Пятница, 26 июня
08:00 (UTC)",,,,,,,,,,40.8,,,северо-западный,,,,2,,,,,,,,,,,757,,21.8,,,,,,,,
1593162000,"Пятница, 26 июня
09:00 (UTC)",,,,,,,,,,41.7,,,северо-западный,,,,2,,,,,,,,,,10.0,757,,22.2,,,,,,4.0,,
1593165600,"Пятница, 26 июня
10:00 (UTC)",,,,,,,,,,40.3,,,северо-западный,,,,4,,,,,,,,,,,757,,22.8,,,,,,,,
1593169200,"Пятница, 26 июня
11:00 (UTC)",,,,,,,,,,38.4,,,северо-западный,,,,5,,,,,,,,,,,756,,23.6,,,,,,,,
1593172800,"Пятница, 26 июня
12:00 (UTC)",,,,,,,,,,39.0,,,северо-западный,,,,5,,,,,,,,,,10.0,756,,23.9,,,,,,4.0,,
1593176400,"Пятница, 26 июня
13:00 (UTC)",,,,,,,,,,43.0,,,западный,,,,3,,,,,,,,,,,755,,24.6,,,,,,,,
1593180000,"Пятница, 26 июня
14:00 (UTC)",,,,,,,,,,48.3,,,западный,,,,5,,,,,,,,,,,755,,24.2,,,,,,,,
1593183600,"Пятница, 26 июня
15:00 (UTC)",,10.0,,,,,,,,50.8,,,западный,,,24.9,5,,,0,,,,,,,10.0,754,,23.9,,,,,,4.0,,
1593187200,"Пятница, 26 июня
16:00 (UTC)",,,,,,,,,,54.5,,,западный,,,,4,,,,,,,,,,,754,,23.4,,,,,,,,
1593190800,"Пятница, 26 июня
17:00 (UTC)",,,,,,,,,,60.9,,,западный,,,,2,,,,,,,,,,,754,,22.3,,,,,,,,
1593194400,"Пятница, 26 июня
18:00 (UTC)",,,,,,,,,,72.9,,,юго-западный,,,,2,,,,,,,,,,10.0,753,,19.6,,,,,,2.0,,
1593198000,"Пятница, 26 июня
19:00 (UTC)",,,,,,,,,,78.0,,,юго-западный,,,,2,,,,,,,,,,,753,,18.3,,,,,,,,
1593201600,"Пятница, 26 июня
20:00 (UTC)",,,,,,,,,,83.6,,,юго-западный,,,,2,,,,,,,,,,,752,,17.3,,,,,,,,
1593205200,"Пятница, 26 июня
21:00 (UTC)",,,,,,,,,,81.6,,,западный,,,,3,,,,,,,,,,10.0,752,,17.9,,,,,,2.0,,
1593208800,"Пятница, 26 июня
22:00 (UTC)",,,,,,,,,,82.0,,,западный,,,,2,,,,,,,,,,,752,,17.4,,,,,,,,
1593212400,"Пятница, 26 июня
23:00 (UTC)",,,,,,,,,,76.0,,,западный,,,,4,,,,,,,,,,,752,,18.5,,,,,,,,
1593216000,"Суббота, 27 июня
00:00 (UTC)",,,,,,,,,,76.0,,,западный,,,,3,,,,,,,,,,10.0,751,,18.3,,,,,,2.0,,
1593219600,"Суббота, 27 июня
01:00 (UTC)",,,,,,,,,,77.4,,,западный,,,,2,,,,,,,,,,,751,,17.7,,,,,,,,
1593223200,"Суббота, 27 июня
02:00 (UTC)",,,,,,,,,,78.4,,,западный,,,,2,,,,,,,,,,,751,,17.9,,,,,,,,
1593226800,"Суббота, 27 июня
03:00 (UTC)",,,,,,,,,,71.9,,16.9,западный,,,,4,,,0,,0,,,,,10.0,751,,19.6,,,,,,2.0,,
1593230400,"Суббота, 27 июня
04:00 (UTC)",,,,,,,,,,66.0,,,западный,,,,4,,,,,,,,,,,750,,21.4,,,,,,,,
1593234000,"Суббота, 27 июня
05:00 (UTC)",,,,,,,,,,63.8,,,западный,,,,3,,,,,,,,,,,750,,22.8,,,,,,,,
1593237600,"Суббота, 27 июня
06:00 (UTC)",,,,,,,,,,55.6,,,западный,,,,5,,,,,,,,,,10.0,750,,23.8,,,,,,1.0,,
1593241200,"Суббота, 27 июня
07:00 (UTC)",,,,,,,,,,51.2,,,западный,,,,5,,,,,,,,,,,749,,25.3,,,,,,,,
1593244800,"Суббота, 27 июня
08:00 (UTC)",,13.0,,,,,,,,47.7,,,северо-западный,,,,9,,,,,,,,,,,749,,25.5,,,,,,,,
1593248400,"Суббота, 27 июня
09:00 (UTC)",,13.0,,,,,,,,43.8,,,западный,,,,8,,,,,,,,,,10.0,748,,26.4,,,,,,6.0,,
1593252000,"Суббота, 27 июня
10:00 (UTC)",,14.0,,,,,,,,41.7,,,западный,,,,8,,,,,,,,,,,748,,27.1,,,,,,,,
1593255600,"Суббота, 27 июня
11:00 (UTC)",,,,,,,,,,46.0,,,западный,,,,6,,,,,,,,,,,748,,26.0,,,,,,,,
1593259200,"Суббота, 27 июня
12:00 (UTC)",,14.0,,,,,,,,42.9,,,северо-западный,,,,6,,,,,,,,,,10.0,747,,27.2,,,,,,6.0,,
1593262800,"Суббота, 27 июня
13:00 (UTC)",,,,,,,,,,39.4,,,западный,,,,7,,,,,,,,,,,746,,27.2,,,,,,,,
1593266400,"Суббота, 27 июня
14:00 (UTC)",,,,,,,,,,49.3,,,северо-западный,,,,5,,,,,,,,,,,746,,24.2,,,,,,,,
1593270000,"Суббота, 27 июня
15:00 (UTC)",,14.0,,,,,,,,51.6,,,северо-западный,,True,27.4,5,,,0,,,,,,,10.0,746,,24.3,,,,,,7.0,,
1593273600,"Суббота, 27 июня
16:00 (UTC)",,,,,,,,,,58.3,,,западный,,,,3,,,,,,,,,,,746,,24.1,,,,,,,,
1593277200,"Суббота, 27 июня
17:00 (UTC)",,,,,,,,,,56.4,,,северный,,,,3,,,,,,,,,,,746,,22.5,,,,,,,,
1593280800,"Суббота, 27 июня
18:00 (UTC)",,,,,,,,,,56.7,,,северный,,True,,1,,,,,,,,,,10.0,746,,20.8,,,,,,7.0,,
1593284400,"Суббота, 27 июня
19:00 (UTC)",,13.0,,,,,,,,72.6,,,северо-западный,,,,1,,,,,,,,,,,746,,18.2,,,,,,,,
1593288000,"Суббота, 27 июня
20:00 (UTC)",,,,,,,,,,77.7,,,северо-западный,,,,1,,,,,,,,,,,746,,16.3,,,,,,,,
1593291600,"Суббота, 27 июня
21:00 (UTC)",,,,,,,,,,79.7,,,северо-западный,,,,1,,,,,,,,,,10.0,746,,15.8,,,,,,2.0,,
1593295200,"Суббота, 27 июня
22:00 (UTC)",,,,,,,,,,83.9,,,северо-западный,,,,1,,,,,,,,,,,747,,14.9,,,,,,,,
1593298800,"Суббота, 27 июня
23:00 (UTC)",,,,,,,,,,90.6,,,северный,,,,2,,,,,,,,,,,747,,13.3,,,,,,,,
1593302400,"Воскресенье, 28 июня
00:00 (UTC)",,,,,,,,,,79.1,,,северо-восточный,,,,1,,,,,,,,,,10.0,747,,15.5,,,,,,4.0,,
1593306000,"Воскресенье, 28 июня
01:00 (UTC)",,,,,,,,,,79.6,,,северо-восточный,,,,1,,,,,,,,,,,747,,15.5,,,,,,,,
1593309600,"Воскресенье, 28 июня
02:00 (UTC)",,,,,,,,,,73.2,,,северо-восточный,,,,2,,,,,,,,,,,747,,16.4,,,,,,,,
1593313200,"Воскресенье, 28 июня
03:00 (UTC)",,,,,,,,,,64.2,,13.2,северо-восточный,,,,2,,,0,,0,,,,,10.0,747,,17.0,,,,,,7.0,,
1593316800,"Воскресенье, 28 июня
04:00 (UTC)",,,,,,,,,,58.0,,,юго-восточный,,,,1,,,,,,,,,,,747,,18.5,,,,,,,,
1593320400,"Воскресенье, 28 июня
05:00 (UTC)",,,,,,,,,,61.0,,,юго-западный,,,,2,,,,,,,,,,,747,,19.1,,,,,,,,
1593324000,"Воскресенье, 28 июня
06:00 (UTC)",,,,,,,,,,59.5,,,юго-западный,,,,2,,,,,,,,,,10.0,747,,19.7,,,,,,7.0,,
1593327600,"Воскресенье, 28 июня
07:00 (UTC)",,,,,,,,,,53.6,,,юго-западный,,,,2,,,,,,,,,,,747,,21.4,,,,,,,,
1593331200,"Воскресенье, 28 июня
08:00 (UTC)",,,,,,,,,,58.7,,,западный,,,,2,,,,,,,,,,,747,,19.5,,,,,,,,
1593334800,"Воскресенье, 28 июня
09:00 (UTC)",,,,,,,,,,56.6,,,северо-западный,,,,3,,,,,,,,,,10.0,747,,20.5,,,,,,10.0,,
1593338400,"Воскресенье, 28 июня
10:00 (UTC)",,,,,,,,,,53.7,,,северо-западный,,,,2,,,,,,,,,,,747,,21.8,,,,,,,,
1593342000,"Воскресенье, 28 июня
11:00 (UTC)",,,,,,,,,,48.6,,,северный,,,,4,,,,,,,,,,,747,,21.8,,,,,,,,
1593345600,"Воскресенье, 28 июня
12:00 (UTC)",,,,,,,,,,45.9,,,северо-западный,,,,3,,,,,,,,,,10.0,746,,22.3,,,,,,6.0,,
1593349200,"Воскресенье, 28 июня
13:00 (UTC)",,,,,,,,,,47.5,,,северный,,,,4,,,,,,,,,,,746,,21.3,,,,,,,,
1593352800,"Воскресенье, 28 июня
14:00 (UTC)",,,,,,,,,,48.1,,,северный,,,,4,,,,,,,,,,,746,,21.3,,,,,,,,
1593356400,"Воскресенье, 28 июня
15:00 (UTC)",,,,,,,,,,49.4,,,северо-восточный,,,22.7,2,,,0,,,,,,,10.0,746,,19.8,,,,,,7.0,,
1593360000,"Воскресенье, 28 июня
16:00 (UTC)",,,,,,,,,,49.7,,,северо-восточный,,,,2,,,,,,,,,,,746,,18.7,,,,,,,,
1593363600,"Воскресенье, 28 июня
17:00 (UTC)",,,,,,,,,,46.2,,,северный,,,,2,,,,,,,,,,,746,,17.9,,,,,,,,
1593367200,"Воскресенье, 28 июня
18:00 (UTC)",,,,,,,,,,46.6,,,северо-восточный,,,,3,,,,,,,,,,10.0,746,,17.0,,,,,,2.0,,
1593370800,"Воскресенье, 28 июня
19:00 (UTC)",,,,,,,,,,52.7,,,северо-восточный,,,,3,,,,,,,,,,,747,,15.2,,,,,,,,
1593374400,"Воскресенье, 28 июня
20:00 (UTC)",,,,,,,,,,56.1,,,северо-восточный,,,,2,,,,,,,,,,,747,,13.7,,,,,,,,
1593378000,"Воскресенье, 28 июня
21:00 (UTC)",,,,,,,,,,59.8,,,северо-восточный,,,,2,,,,,,,,,,10.0,747,,12.5,,,,,,0.0,,
1593381600,"Воскресенье, 28 июня
22:00 (UTC)",,,,,,,,,,65.1,,,северо-восточный,,,,2,,,,,,,,,,,747,,11.2,,,,,,,,
1593385200,"Воскресенье, 28 июня
23:00 (UTC)",,,,,,,,,,68.2,,,северо-восточный,,,,1,,,,,,,,,,,748,,10.3,,,,,,,,
1593388800,"Понедельник, 29 июня
00:00 (UTC)",,,,,,,,,,73.5,,,северный,,,,1,,,,,,,,,,10.0,748,,9.3,,,,,,0.0,,
1593392400,"Понедельник, 29 июня
01:00 (UTC)",,,,,,,,,,71.9,,,северо-восточный,,,,2,,,,,,,,,,,748,,9.2,,,,,,,,
1593396000,"Понедельник, 29 июня
02:00 (UTC)",,,,,,,,,,71.0,,,северо-восточный,,,,2,,,,,,,,,,,748,,9.6,,,,,,,,
1593399600,"Понедельник, 29 июня
03:00 (UTC)",,,,,,,,,,64.7,,9.2,северо-восточный,,,,2,,,0,,0,,,,,10.0,748,,11.3,,,,,,0.0,,
1593403200,"Понедельник, 29 июня
04:00 (UTC)",,,,,,,,,,61.1,,,северо-восточный,,,,2,,,,,,,,,,,748,,12.8,,,,,,,,
1593406800,"Понедельник, 29 июня
05:00 (UTC)",,,,,,,,,,55.4,,,восточный,,,,2,,,,,,,,,,,748,,14.1,,,,,,,,
1593410400,"Понедельник, 29 июня
06:00 (UTC)",,,,,,,,,,49.9,,,северо-восточный,,,,3,,,,,,,,,,10.0,748,,15.4,,,,,,2.0,,
1593414000,"Понедельник, 29 июня
07:00 (UTC)",,,,,,,,,,49.2,,,северо-восточный,,,,2,,,,,,,,,,,748,,15.3,,,,,,,,
1593417600,"Понедельник, 29 июня
08:00 (UTC)",,,,,,,,,,46.6,,,северо-восточный,,,,3,,,,,,,,,,,748,,15.6,,,,,,,,
1593421200,"Понедельник, 29 июня
09:00 (UTC)",,,,,,,,,,48.2,,,северо-восточный,,,,2,,,,,,,,,,10.0,748,,15.5,,,,,,7.0,,
1593424800,"Понедельник, 29 июня
10:00 (UTC)",,,,,,,,,,45.0,,,северный,,,,3,,,,,,,,,,,748,,15.8,,,,,,,,
1593428400,"Понедельник, 29 июня
11:00 (UTC)",,,,,,,,,,47.2,,,северный,,,,3,,,,,,,,,,,749,,15.5,,,,,,,,
1593432000,"Понедельник, 29 июня
12:00 (UTC)",,,,,,,,,,46.6,,,северный,,,,4,,,,,,,,,,10.0,748,,15.9,,,,,,9.0,,
1593435600,"Понедельник, 29 июня
13:00 (UTC)",,,,,,,,,,48.1,,,северный,,,,3,,,,,,,,,,,749,,15.3,,,,,,,,
1593439200,"Понедельник, 29 июня
14:00 (UTC)",,,,,,,,,,49.2,,,северный,,,,3,,,,,,,,,,,748,,15.4,,,,,,,,
1593442800,"Понедельник, 29 июня
15:00 (UTC)",,,,,,,,,,48.5,,,северный,,,16.5,2,,,0,,,,,,,10.0,748,,15.3,,,,,,10.0,,
1593446400,"Понедельник, 29 июня
16:00 (UTC)",,,,,,,,,,49.7,,,северный,,,,2,,,,,,,,,,,748,,14.7,,,,,,,,
1593450000,"Понедельник, 29 июня
17:00 (UTC)",,,,,,,,,,49.2,,,северо-восточный,,,,2,,,,,,,,,,,749,,14.3,,,,,,,,
1593453600,"Понедельник, 29 июня
18:00 (UTC)",,,,,,,,,,51.9,,,северный,,,,1,,,,,,,,,,10.0,749,,13.8,,,,,,10.0,,
1593457200,"Понедельник, 29 июня
19:00 (UTC)",,,,,,,,,,62.1,,,,,,,0,,,,,,,,,,,749,,13.2,,,,,,,,
1593460800,"Понедельник, 29 июня
20:00 (UTC)",,,,,,,,,,76.4,,,южный,,,,1,,,,,,,,,,,749,,11.5,,,,,,,,
1593464400,"Понедельник, 29 июня
21:00 (UTC)",,,,,,,,,,82.0,,,южный,,,,1,,,,,,,,,,10.0,748,,8.9,,,,,,4.0,,
1593468000,"Понедельник, 29 июня
22:00 (UTC)",,,,,,,,,,90.1,,,,,,,0,,,,,,,,,,,749,,6.4,,,,,,,,
1593471600,"Понедельник, 29 июня
23:00 (UTC)",,,,,,,,,,92.7,,,северо-западный,,,,1,,,,,,,,,,,749,,6.8,,,,,,,,
1593475200,"Вторник, 30 июня
00:00 (UTC)",,,,,,,,,,93.3,,,,,,,0,,,,,,,True,,,4.0,749,,5.9,,,,,,6.0,,
1593478800,"Вторник, 30 июня
01:00 (UTC)",,,,,,,,,,93.9,,,,,,,0,,,,,,,,,,,749,,5.0,,,,,,,,
1593482400,"Вторник, 30 июня
02:00 (UTC)",,,,,,,,,,94.0,,,,,,,0,,,,,,,,,,,749,,7.0,,,,,,,,
1593486000,"Вторник, 30 июня
03:00 (UTC)",,,,,,,,,,89.8,,4.9,,,,,0,,,0,,0,,,,,10.0,749,,9.9,,,,,,7.0,,
1593489600,"Вторник, 30 июня
04:00 (UTC)",,,,,,,,,,65.3,,,юго-западный,,,,2,,,,,,,,,,,749,,13.8,,,,,,,,
1593493200,"Вторник, 30 июня
05:00 (UTC)",,,,,,,,,,48.6,,,юго-западный,,,,2,,,,,,,,,,,749,,15.9,,,,,,,,
1593496800,"Вторник, 30 июня
06:00 (UTC)",,,,,,,,,,42.0,,,южный,,,,2,,,,,,,,,,10.0,749,,17.1,,,,,,4.0,,
1593500400,"Вторник, 30 июня
07:00 (UTC)",,,,,,,,,,37.4,,,южный,,,,3,,,,,,,,,,,749,,17.5,,,,,,,,
1593504000,"Вторник, 30 июня
08:00 (UTC)",,,,,,,,,,40.1,,,южный,,,,3,,,,,,,,,,,749,,17.3,,,,,,,,
1593507600,"Вторник, 30 июня
09:00 (UTC)",,,,,,,,,,41.9,,,юго-восточный,,,,1,,,,,,,,,,10.0,748,,17.6,,,,,,7.0,,
1593511200,"Вторник, 30 июня
10:00 (UTC)",,,,,,,,,,40.8,,,южный,,,,4,,,,,,,,,,,748,,18.0,,,,,,,,
1593514800,"Вторник, 30 июня
11:00 (UTC)",,,,,,,,,,40.9,,,юго-восточный,,,,4,,,,,,,,,,,748,,18.3,,,,,,,,
1593518400,"Вторник, 30 июня
12:00 (UTC)",,,,,,,,,,37.5,,,южный,,,,4,,,,,,,,,,10.0,747,,19.8,,,,,,7.0,,
1593522000,"Вторник, 30 июня
13:00 (UTC)",,,,,,,,,,41.3,,,южный,,,,4,,,,,,,,,,,747,,18.6,,,,,,,,
1593525600,"Вторник, 30 июня
14:00 (UTC)",,,,,,,,,,39.9,,,юго-восточный,,,,6,,,,,,,,,,,747,,19.5,,,,,,,,
1593529200,"Вторник, 30 июня
15:00 (UTC)",,,,,,,,,,41.9,,,юго-восточный,,,20.0,5,,,0,,,,,,,10.0,747,,18.7,,,,,,6.0,,
1593532800,"Вторник, 30 июня
16:00 (UTC)",,,,,,,,,,44.2,,,юго-восточный,,,,5,,,,,,,,,,,746,,18.3,,,,,,,,
