timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Дождь со снегом слабый,В окрестности станции местами туман,"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1595080800,"Суббота, 18 июля
14:00 (UTC)",,,,,,,,,,,71.9,,,,северо-западный,,,1,,,,,,,,,,,,751.0,19.6,,,,,,,
1595084400,"Суббота, 18 июля
15:00 (UTC)",,,,,,,,,,,70.6,,,,северный,,20.9,3,,,0,,,,,,,,30.0,751.0,20.0,,,,,7.0,,
1595088000,"Суббота, 18 июля
16:00 (UTC)",,,,,,,,,,,78.0,,,,северный,,,2,,,,,,,,,,,,751.0,18.2,,,,,,,
1595091600,"Суббота, 18 июля
17:00 (UTC)",,,,,,,,,,,84.7,,,,северный,,,2,,,,,,,,,,,,751.0,17.2,,,,,,,
1595095200,"Суббота, 18 июля
18:00 (UTC)",,,,,,,,,,,89.1,,,,,,,0,,,,,,,,,,,30.0,751.0,16.2,,,,,7.0,,
1595098800,"Суббота, 18 июля
19:00 (UTC)",,,,,,,,,,,95.6,,,,,,,0,,,,,,,,,,,,751.0,15.1,,,,,,,
1595102400,"Суббота, 18 июля
20:00 (UTC)",,,,,,,,,,,96.8,,,,,,,0,,,,,,,,,,,,751.0,15.0,,,,,,,
1595106000,"Суббота, 18 июля
21:00 (UTC)",,,,,,,,,,,98.7,,,,,,,0,,,,,,,,,,,50.0,752.0,15.1,,,,,9.0,,
1595109600,"Суббота, 18 июля
22:00 (UTC)",,,,,,,,,,,99.4,,,,северо-западный,,,1,,,,,,,,,,,,752.0,15.1,,,,,,,
1595113200,"Суббота, 18 июля
23:00 (UTC)",,,,,,,,,,,99.4,,,,,,,0,,,,,,,,,,,,751.0,14.9,,,,,,,
1595116800,"Воскресенье, 19 июля
00:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,1,,,,,,,,,,,30.0,751.0,15.0,,,,,10.0,,
1595120400,"Воскресенье, 19 июля
01:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,1,,,,,,,,,,,,752.0,15.2,,,,,,,
1595124000,"Воскресенье, 19 июля
02:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,1,,,,,,,,,,,,751.0,15.0,,,,,,,
1595127600,"Воскресенье, 19 июля
03:00 (UTC)",,,,,,,,,,,97.5,,14.8,,северный,,,1,,,0,,,,0,,,,30.0,751.0,15.5,,,,,10.0,,
1595131200,"Воскресенье, 19 июля
04:00 (UTC)",,,,,,,,,,,94.4,,,,северный,,,2,,,,,,,,,,,,752.0,16.1,,,,,,,
1595134800,"Воскресенье, 19 июля
05:00 (UTC)",,,,,,,,,,,89.2,,,,северный,,,2,,,,,,,,,,,,751.0,17.2,,,,,,,
1595138400,"Воскресенье, 19 июля
06:00 (UTC)",,,,,,,,,,,81.7,,,,северный,,,3,,,,,,,,,,,30.0,751.0,18.8,,,,,10.0,,
1595142000,"Воскресенье, 19 июля
07:00 (UTC)",,,,,,,,,,,73.7,,,,северный,,,5,,,,,,,,,,,,751.0,19.1,,,,,,,
1595145600,"Воскресенье, 19 июля
08:00 (UTC)",,,,,,,,,,,76.5,,,,северный,,,3,,,,,,,,,,,,751.0,18.3,,,,,,,
1595149200,"Воскресенье, 19 июля
09:00 (UTC)",,,,,,,,,,,80.0,,,,северный,,,3,,,,,,,,,,,30.0,751.0,18.1,,,,,10.0,,
1595152800,"Воскресенье, 19 июля
10:00 (UTC)",,,,,,,,,,,77.2,,,,северный,,,3,,,,,,,,,,,,751.0,19.3,,,,,,,
1595156400,"Воскресенье, 19 июля
11:00 (UTC)",,,,,,,,,,,74.8,,,,северный,,,3,,,,,,,,,,,,751.0,19.7,,,,,,,
1595160000,"Воскресенье, 19 июля
12:00 (UTC)",,,,,,,,,,,73.9,,,,северный,,,2,,,,,,,,,,,30.0,751.0,20.3,,,,,10.0,,
1595163600,"Воскресенье, 19 июля
13:00 (UTC)",,,,,,,,,,,74.3,,,,северный,,,3,,,,,,,,,,,,750.0,20.0,,,,,,,
1595167200,"Воскресенье, 19 июля
14:00 (UTC)",,,,,,,,,,,76.2,,,,северный,,,4,,,,,,,,,,,,750.0,19.6,,,,,,,
1595170800,"Воскресенье, 19 июля
15:00 (UTC)",,,,,,,,,,,76.7,,,,северный,,20.5,3,,,0,,,,,,,,30.0,750.0,19.8,,,,,10.0,,
1595174400,"Воскресенье, 19 июля
16:00 (UTC)",,,,,,,,,,,76.6,,,,северный,,,2,,,,,,,,,,,,750.0,19.2,,,,,,,
1595178000,"Воскресенье, 19 июля
17:00 (UTC)",,,,,,,,,,,85.3,,,,,,,0,,,,,,,,,,,,750.0,18.0,,,,,,,
1595181600,"Воскресенье, 19 июля
18:00 (UTC)",,,,,,,,,,,92.1,,,,,,,0,,,,,,,,,,,30.0,750.0,17.0,,,,,10.0,,
1595185200,"Воскресенье, 19 июля
19:00 (UTC)",,,,,,,,,,,95.6,,,,,,,0,,,,,,,,,,,,750.0,15.2,,,,,,,
1595188800,"Воскресенье, 19 июля
20:00 (UTC)",,,,,,,,,,,95.6,,,,,,,0,,,,,,,,,,,,750.0,16.0,,,,,,,
1595192400,"Воскресенье, 19 июля
21:00 (UTC)",,,,,,,,,,,97.5,,,,северо-западный,,,1,,,,,,,,,,,50.0,749.0,15.9,,,,,1.0,,
1595196000,"Воскресенье, 19 июля
22:00 (UTC)",,,,,,,,,,,98.7,,,,,,,0,,,,,,,,,,,,749.0,15.4,,,,,,,
1595199600,"Воскресенье, 19 июля
23:00 (UTC)",,,,,,,,,,,99.4,,,,северо-западный,,,1,,,,,,,,,,,,749.0,15.2,,,,,,,
1595203200,"Понедельник, 20 июля
00:00 (UTC)",,,,,,,,,,,99.4,,,,западный,,,1,,,,,,,,,,,30.0,749.0,15.4,,,,,10.0,,
1595206800,"Понедельник, 20 июля
01:00 (UTC)",,,,,,,,,,,100.0,,,,северо-западный,,,1,,,,,,,,,,,,749.0,14.8,,,,,,,
1595210400,"Понедельник, 20 июля
02:00 (UTC)",,,,,,,,,,,99.4,,,,северо-западный,,,1,,,,,,,,,,,,749.0,15.3,,,,,,,
1595214000,"Понедельник, 20 июля
03:00 (UTC)",,,,,,,,,,,99.4,,14.7,,западный,,,1,,,0,,,,0,,True,,2.0,748.0,15.4,,,,,10.0,,
1595217600,"Понедельник, 20 июля
04:00 (UTC)",,,,,,,,,,,99.4,,,,,,,0,,,,,,,,,,,,748.0,15.7,,,,,,,
1595221200,"Понедельник, 20 июля
05:00 (UTC)",,,,,,,,,,,99.4,,,,северо-западный,,,1,,,,,,,,,,,,748.0,16.4,,,,,,,
1595224800,"Понедельник, 20 июля
06:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,1,True,,,,,,,,,,20.0,748.0,17.4,,,,,10.0,,
1595228400,"Понедельник, 20 июля
07:00 (UTC)",,,,,,,,,,,93.9,,,,северный,,,1,,,,,,,,,,,,747.0,18.4,,,,,,,
1595232000,"Понедельник, 20 июля
08:00 (UTC)",,,,,,,,,,,89.9,,,,северный,,,2,,,,,,,,,,,,747.0,19.2,,,,,,,
1595235600,"Понедельник, 20 июля
09:00 (UTC)",,,,,,,,,,,80.9,,,,северо-западный,,,1,,,,,,,,,,,30.0,747.0,20.9,,,,,10.0,,
1595239200,"Понедельник, 20 июля
10:00 (UTC)",,,,,,,,,,,96.9,,,,северный,,,2,,,,,,,,,,,,747.0,17.5,,,,,,,
1595242800,"Понедельник, 20 июля
11:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,2,,,,,,,,,,,,747.0,18.2,,,,,,,
1595246400,"Понедельник, 20 июля
12:00 (UTC)",,11.0,,,,,,,,,96.9,,,,северный,,,3,,,,,,,,True,,,12.0,747.0,18.2,,,,,10.0,,
1595250000,"Понедельник, 20 июля
13:00 (UTC)",,,,,,,,,,,97.5,,,,северный,,,3,,,,,,,,,,,,746.0,18.3,,,,,,,
1595253600,"Понедельник, 20 июля
14:00 (UTC)",,,,,,,,,,,98.1,,,,северный,,,3,,,,,,,,,,,,746.0,17.9,,,,,,,
1595257200,"Понедельник, 20 июля
15:00 (UTC)",,,,,,,,,,,98.1,,,,северный,,21.1,3,,,11,,,,,True,,,30.0,746.0,17.3,,,,,10.0,,
1595260800,"Понедельник, 20 июля
16:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,1,,,,,,,,,,,,746.0,17.2,,,,,,,
1595264400,"Понедельник, 20 июля
17:00 (UTC)",,,,,,,,,,,97.5,,,,северный,,,1,,,,,,,,,,,,745.0,17.0,,,,,,,
1595268000,"Понедельник, 20 июля
18:00 (UTC)",,,,,,,,,,,98.1,,,,северо-западный,,,1,,,,,,,,,,,30.0,745.0,16.8,,,True,,10.0,,
1595271600,"Понедельник, 20 июля
19:00 (UTC)",,,,,,,,,,,100.0,,,,северный,,,1,,,,,,,,,,,,745.0,16.5,,,,,,,
1595275200,"Понедельник, 20 июля
20:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,2,,,,,,,,,,,,744.0,16.8,,,,,,,
1595278800,"Понедельник, 20 июля
21:00 (UTC)",,,,,,,,,,,98.1,,,,северный,,,3,,,,,,,,,,,30.0,744.0,17.0,,,True,,10.0,,
1595282400,"Понедельник, 20 июля
22:00 (UTC)",,,,,,,,,,,98.1,,,,северный,,,2,,,,,,,,,,,,744.0,17.0,,,,,,,
1595286000,"Понедельник, 20 июля
23:00 (UTC)",,,,,,,,,,,97.5,,,,северный,,,3,,,,,,,,,,,,743.0,17.0,,,,,,,
1595289600,"Вторник, 21 июля
00:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,3,,,,,,,,,,,30.0,743.0,16.5,,,,,10.0,,
1595293200,"Вторник, 21 июля
01:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,2,,,,,,,,,,,,743.0,16.4,,,,,,,
1595296800,"Вторник, 21 июля
02:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,2,,,,,,,,,,,,743.0,16.2,,,,,,,
1595300400,"Вторник, 21 июля
03:00 (UTC)",,,True,,,,,,,,99.4,,16.2,,северный,,,3,,,9,,,,20,,,,30.0,742.0,16.3,,,,,10.0,,
1595304000,"Вторник, 21 июля
04:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,3,,,,,,,,,,,,742.0,16.4,,,,,,,
1595307600,"Вторник, 21 июля
05:00 (UTC)",,,,,,,,,,,99.4,,,,северный,,,2,,,,,,,,,,,,742.0,16.7,,,,,,,
1595311200,"Вторник, 21 июля
06:00 (UTC)",,,,,,,,,,,98.1,,,,северный,,,2,,,,,,,,,,,30.0,742.0,17.3,,,True,,10.0,,
1595314800,"Вторник, 21 июля
07:00 (UTC)",,,,,,,,,,,98.7,,,,северный,,,2,,,,,,,,,,,,742.0,17.5,,,,,,,
1595318400,"Вторник, 21 июля
08:00 (UTC)",,,,,,,,,,,97.5,,,,северный,,,2,,,,,,,,,,,,742.0,18.4,,,,,,,
1595322000,"Вторник, 21 июля
09:00 (UTC)",,,,,,,,,,,95.1,,,,северо-западный,,,2,,,,,,,,True,,,30.0,741.0,18.2,,,,,10.0,,
1595325600,"Вторник, 21 июля
10:00 (UTC)",,,,,,,,,,,91.0,,,,северо-западный,,,2,,,,,,,,,,,,741.0,18.8,,,,,,,
1595329200,"Вторник, 21 июля
11:00 (UTC)",,,,,,,,,,,96.3,,,,западный,,,1,,,,,,,,,,,,741.0,17.8,,,,,,,
1595332800,"Вторник, 21 июля
12:00 (UTC)",,,,,,,,,,True,96.3,,,,западный,,,2,,,,,,,,,,,30.0,741.0,18.0,,,,,10.0,,
1595336400,"Вторник, 21 июля
13:00 (UTC)",,,,,,,,,,,95.1,,,,,,,0,,,,,,,,,,,,741.0,17.8,,,,,,,
1595340000,"Вторник, 21 июля
14:00 (UTC)",,,,,,,,,,,93.9,,,,,,,0,,,,,,,,,,,,741.0,17.8,,,,,,,
1595343600,"Вторник, 21 июля
15:00 (UTC)",,,,,,,,,,,96.9,,,,,,19.6,0,,,3,,,,,True,,,10.0,741.0,17.3,,,,,10.0,,
1595347200,"Вторник, 21 июля
16:00 (UTC)",,,,,,,,,,,98.1,,,,,,,0,,,,,,,,,,,,740.0,17.1,,,,,,,
1595350800,"Вторник, 21 июля
17:00 (UTC)",,,,,,,,,,,98.1,,,,,,,0,,,,,,,,,,,,741.0,16.9,,,,,,,
1595354400,"Вторник, 21 июля
18:00 (UTC)",,,,,,,,,,,98.7,,,,юго-западный,,,1,,,,,,,,,,,30.0,740.0,16.5,,,True,,10.0,,
1595358000,"Вторник, 21 июля
19:00 (UTC)",,,,,,,,,,,99.4,,,,юго-западный,,,1,,,,,,,,,,,,740.0,16.2,,,,,,,
1595361600,"Вторник, 21 июля
20:00 (UTC)",,,,,,,,,,,99.4,,,,западный,,,2,,,,,,,,,,,,740.0,16.2,,,,,,,
1595365200,"Вторник, 21 июля
21:00 (UTC)",,,True,,,,,,,,99.4,,,,западный,,,2,,,,,,,,,,,30.0,740.0,15.9,,,,,10.0,,
1595368800,"Вторник, 21 июля
22:00 (UTC)",,,,,,,,,,,99.4,,,,западный,,,1,,,,,,,,,,,,740.0,15.6,,,,,,,
1595372400,"Вторник, 21 июля
23:00 (UTC)",,,,,,,,,,,98.7,,,,юго-западный,,,2,,,,,,,,,,,,740.0,15.6,,,,,,,
1595376000,"Среда, 22 июля
00:00 (UTC)",,,,,,,,,,,99.4,,,,юго-западный,,,2,,,,,,,,,,,50.0,740.0,15.4,,,True,,10.0,,
1595379600,"Среда, 22 июля
01:00 (UTC)",,,,,,,,,,,99.4,,,,юго-западный,,,3,,,,,,,,,,,,739.0,15.3,,,,,,,
1595383200,"Среда, 22 июля
02:00 (UTC)",,,,,,,,,,,99.4,,,,юго-западный,,,3,,,,,,,,,,,,739.0,15.2,,,,,,,
1595386800,"Среда, 22 июля
03:00 (UTC)",,,,,,,,,,,98.7,,15.2,,юго-западный,,,2,,,1,,,,3,,,,30.0,739.0,15.4,,,,,10.0,,
1595390400,"Среда, 22 июля
04:00 (UTC)",,,,,,,,,,,98.7,,,,южный,,,2,,,,,,,,,,,,739.0,15.5,,,,,,,
1595394000,"Среда, 22 июля
05:00 (UTC)",,,,,,,,,,,98.1,,,,юго-западный,,,3,,,,,,,,,,,,739.0,15.5,,,,,,,
1595397600,"Среда, 22 июля
06:00 (UTC)",,,True,,,,,,,,95.6,,,,юго-западный,,,4,,,,,,,,,,,30.0,739.0,15.6,,,,,10.0,,
1595401200,"Среда, 22 июля
07:00 (UTC)",,,,,,,,,,,90.8,,,,юго-западный,,,4,,,,,,,,,,,,739.0,16.3,,,,,,,
1595404800,"Среда, 22 июля
08:00 (UTC)",,,,,,,,,,,89.7,,,,юго-западный,,,3,,,,,,,,,,,,739.0,16.4,,,,,,,
1595408400,"Среда, 22 июля
09:00 (UTC)",,10.0,,,,,True,,,,91.4,,,,юго-западный,,,3,,,,,,,,,,,30.0,740.0,16.6,,,,,10.0,,
1595412000,"Среда, 22 июля
10:00 (UTC)",,,,,,,,,,,87.0,,,,юго-западный,,,3,,,,,,,,,,,,740.0,17.8,,,,,,,
1595415600,"Среда, 22 июля
11:00 (UTC)",,,,,,,,,,,72.5,,,,западный,,,4,,,,,,,,,,,,740.0,20.5,,,,,,,
1595419200,"Среда, 22 июля
12:00 (UTC)",,,,,,,,,,,73.4,,,,юго-западный,,,3,,,,,,,,,,,30.0,740.0,20.2,,,True,,7.0,,
1595422800,"Среда, 22 июля
13:00 (UTC)",,,,,,,,,,,97.5,,,,юго-западный,,,3,,,,,,,,,,,,741.0,16.0,,,,,,,
1595426400,"Среда, 22 июля
14:00 (UTC)",,,,,,,,,,,92.7,,,,юго-западный,,,2,,,,,,,,,,,,741.0,18.0,,,,,,,
1595430000,"Среда, 22 июля
15:00 (UTC)",,11.0,,,,,,,,,87.1,,,,юго-западный,,20.8,3,,,5,,,,,,,,30.0,741.0,18.9,,,True,,6.0,,
1595433600,"Среда, 22 июля
16:00 (UTC)",,,,,,,,,,,86.3,,,,северо-западный,,,2,,,,,,,,,,,,741.0,17.0,,,,,,,
1595437200,"Среда, 22 июля
17:00 (UTC)",,,,,,,,,,,95.0,,,,юго-западный,,,2,,,,,,,,,,,,741.0,16.8,,,,,,,
1595440800,"Среда, 22 июля
18:00 (UTC)",,,,,,,True,,,,95.0,,,,юго-западный,,,1,,,,,,,,,,,30.0,741.0,15.7,,,,,10.0,,
1595444400,"Среда, 22 июля
19:00 (UTC)",,,,,,,,,,,99.4,,,,южный,,,2,,,,,,,,,,,,742.0,15.3,,,,,,,
1595448000,"Среда, 22 июля
20:00 (UTC)",,,,,,,,,,,99.4,,,,южный,,,2,,,,,,,,,,,,742.0,15.2,,,,,,,
1595451600,"Среда, 22 июля
21:00 (UTC)",,,,,,,,,,,94.4,,,,юго-западный,,,2,,,,,,,,,,,50.0,742.0,15.2,,,,,10.0,,
1595455200,"Среда, 22 июля
22:00 (UTC)",,,,,,,,,,,96.2,,,,юго-западный,,,3,,,,,,,,,,,,741.0,14.6,,,,,,,
1595458800,"Среда, 22 июля
23:00 (UTC)",,,,,,,,,,,91.9,,,,юго-западный,,,3,,,,,,,,,,,,741.0,14.6,,,,,,,
1595462400,"Четверг, 23 июля
00:00 (UTC)",,,,,,,,,,,91.9,,,,юго-западный,,,3,,,,,,,,,,,50.0,742.0,14.0,,,,,10.0,,
1595466000,"Четверг, 23 июля
01:00 (UTC)",,,,,,,,,,,91.8,,,,юго-западный,,,2,,,,,,,,,,,,742.0,13.2,,,,,,,
1595469600,"Четверг, 23 июля
02:00 (UTC)",,,,,,,,,,,94.2,,,,юго-западный,,,2,,,,,,,,,,,,742.0,12.5,,,,,,,
1595473200,"Четверг, 23 июля
03:00 (UTC)",,,,,,,,,,,90.7,,12.2,,юго-западный,,,2,,,2,,,,7,,,,30.0,742.0,13.8,,,,,2.0,,
1595476800,"Четверг, 23 июля
04:00 (UTC)",,,,,,,,,,,82.8,,,,юго-западный,,,2,,,,,,,,,,,,742.0,15.0,,,,,,,
1595480400,"Четверг, 23 июля
05:00 (UTC)",,,,,,,,,,,80.3,,,,юго-западный,,,2,,,,,,,,,,,,742.0,16.3,,,,,,,
1595484000,"Четверг, 23 июля
06:00 (UTC)",,,,,,,,,,,81.9,,,,юго-западный,,,3,,,,,,,,,,,30.0,742.0,16.1,,,,,7.0,,
1595487600,"Четверг, 23 июля
07:00 (UTC)",,,,,,,,,,,76.8,,,,юго-западный,,,3,,,,,,,,,,,,742.0,17.3,,,,,,,
1595491200,"Четверг, 23 июля
08:00 (UTC)",,,,,,,,,,,74.4,,,,юго-западный,,,2,,,,,,,,,,,,742.0,17.6,,,,,,,
1595494800,"Четверг, 23 июля
09:00 (UTC)",,,,,,,,,,,67.3,,,,западный,,,2,,,,,,,,,,,30.0,742.0,19.0,,,,,9.0,,
1595498400,"Четверг, 23 июля
10:00 (UTC)",,,,,,,,,,,57.5,,,,западный,,,4,,,,,,,,,,,,742.0,19.3,,,,,,,
1595502000,"Четверг, 23 июля
11:00 (UTC)",,,,,,,,,,,63.2,,,,юго-западный,,,2,,,,,,,,,,,,743.0,18.2,,,,,,,
1595505600,"Четверг, 23 июля
12:00 (UTC)",True,,,,,,,,,,77.0,,,,юго-западный,,,3,,,,,,,,,,,30.0,743.0,15.4,,,,,10.0,,
1595509200,"Четверг, 23 июля
13:00 (UTC)",,,,,,,,,,,95.0,,,,южный,,,2,,,,,,,,,,,,743.0,14.6,,,,,,,
1595512800,"Четверг, 23 июля
14:00 (UTC)",,,,,,,,,,,80.3,,,,юго-западный,,,2,,,,,,,,,,,,743.0,16.4,,,,,,,
1595516400,"Четверг, 23 июля
15:00 (UTC)",,,,,,,,,,,90.6,,,,западный,,20.3,1,,,2,,,,,,,,30.0,744.0,13.5,True,,,,9.0,,
1595520000,"Четверг, 23 июля
16:00 (UTC)",,,,,,,,,,,95.5,,,,юго-западный,,,1,,,,,,,,,,,,744.0,13.4,,,,,,,
1595523600,"Четверг, 23 июля
17:00 (UTC)",,,,,,,,,,,96.2,,,,южный,,,1,,,,,,,,,,,,745.0,13.5,,,,,,,
1595527200,"Четверг, 23 июля
18:00 (UTC)",,,,,,,True,,,,94.9,,,,западный,,,2,,,,,,,,,,,30.0,745.0,12.9,,,,,10.0,,
1595530800,"Четверг, 23 июля
19:00 (UTC)",,,,,,,,,,,93.0,,,,юго-западный,,,2,,,,,,,,,,,,745.0,11.6,,,,,,,
1595534400,"Четверг, 23 июля
20:00 (UTC)",,,,,,,,,,,95.4,,,,юго-западный,,,2,,,,,,,,,,,,745.0,10.7,,,,,,,
1595538000,"Четверг, 23 июля
21:00 (UTC)",,,,,,,,,,,96.1,,,,юго-западный,,,3,,,,,,,,,,,50.0,745.0,10.3,,,True,,7.0,,
1595541600,"Четверг, 23 июля
22:00 (UTC)",,,,,,,,,,,97.4,,,,юго-западный,,,3,,,,,,,,,,,,745.0,9.7,,,,,,,
1595545200,"Четверг, 23 июля
23:00 (UTC)",,,,,,,,,,,95.4,,,,юго-западный,,,3,,,,,,,,,,,,745.0,9.6,,,,,,,
1595548800,"Пятница, 24 июля
00:00 (UTC)",,,,,,,,,,,95.4,,,,юго-западный,,,3,,,,,,,,,,,30.0,746.0,9.6,,,,,2.0,,
1595552400,"Пятница, 24 июля
01:00 (UTC)",,,,,,,,,,,96.7,,,,юго-западный,,,3,,,,,,,,,,,,746.0,9.0,,,,,,,
1595556000,"Пятница, 24 июля
02:00 (UTC)",,,,,,,,,,,94.8,,,,юго-западный,,,3,,,,,,,,,,,,746.0,9.6,,,,,,,
1595559600,"Пятница, 24 июля
03:00 (UTC)",,,,,,,,,,,92.9,,8.3,,юго-западный,,,3,,,3,,,,5,,,,30.0,746.0,10.8,,,,,6.0,,
1595563200,"Пятница, 24 июля
04:00 (UTC)",,,,,,,,,,,81.5,,,,юго-западный,,,2,,,,,,,,,,,,747.0,13.3,,,,,,,
1595566800,"Пятница, 24 июля
05:00 (UTC)",,,,,,,,,,,78.0,,,,юго-западный,,,1,,,,,,,,,,,,747.0,14.9,,,,,,,
1595570400,"Пятница, 24 июля
06:00 (UTC)",,,,,,,,,,,69.5,,,,юго-западный,,,1,,,,,,,,,,,30.0,747.0,16.6,,,,,1.0,,
1595574000,"Пятница, 24 июля
07:00 (UTC)",,,,,,,,,,,64.4,,,,юго-западный,,,2,,,,,,,,,,,,747.0,17.8,,,,,,,
1595577600,"Пятница, 24 июля
08:00 (UTC)",,,,,,,,,,,58.0,,,,юго-западный,,,3,,,,,,,,,,,,747.0,18.4,,,,,,,
1595581200,"Пятница, 24 июля
09:00 (UTC)",,,,,,,,,,,54.1,,,,юго-западный,,,3,,,,,,,,,,,30.0,747.0,19.1,,,,,5.0,,
1595584800,"Пятница, 24 июля
10:00 (UTC)",,,,,,,,,,,51.2,,,,западный,,,1,,,,,,,,,,,,747.0,19.0,,,,,,,
1595588400,"Пятница, 24 июля
11:00 (UTC)",,,,,,,,,,,57.0,,,,,,,0,,,,,,,,,,,,747.0,18.8,,,,,,,
1595592000,"Пятница, 24 июля
12:00 (UTC)",,10.0,,,,,,,,True,54.6,,,,западный,,,4,,,,,,,,,,,30.0,748.0,18.4,,,,,10.0,,
1595595600,"Пятница, 24 июля
13:00 (UTC)",,,,,,,,,,,87.7,,,,западный,,,2,,,,,,,,,,,,748.0,13.5,,,,,,,
1595599200,"Пятница, 24 июля
14:00 (UTC)",,,,,,,,,,,80.1,,,,юго-западный,,,2,,,,,,,,,,,,749.0,15.3,,,,,,,
1595602800,"Пятница, 24 июля
15:00 (UTC)",,10.0,,,,,,,,,79.7,,,,южный,,20.6,1,,,0.7,,,,,,,,30.0,749.0,16.2,,,True,,7.0,,
1595606400,"Пятница, 24 июля
16:00 (UTC)",,,,,,,,,,,75.0,,,,южный,,,3,,,,,,,,,,,,749.0,15.0,,,,,,,
1595610000,"Пятница, 24 июля
17:00 (UTC)",,,,,,,,,,,88.8,,,,юго-западный,,,1,,,,,,,,,,,,749.0,12.8,,,,,,,
1595613600,"Пятница, 24 июля
18:00 (UTC)",,,,,,,,,,,93.6,,,,,,,0,,,,,,,,,,,30.0,749.0,11.2,,,True,,6.0,,
1595617200,"Пятница, 24 июля
19:00 (UTC)",,,,,,,,,,,99.3,,,,,,,0,,,,,,,,,,,,749.0,9.7,,,,,,,
1595620800,"Пятница, 24 июля
20:00 (UTC)",,,,,,,,,,,99.3,,,,,,,0,,,,,,,,,,,,750.0,8.1,,,,,,,
1595624400,"Пятница, 24 июля
21:00 (UTC)",,,,,,,,,,,100.0,,,,,,,0,,,,,,,,,,,50.0,750.0,7.0,,,,,2.0,,
1595628000,"Пятница, 24 июля
22:00 (UTC)",,,,,,,,,,,99.3,,,,юго-западный,,,2,,,,,,,,,,,,750.0,6.4,,,,,,,
1595631600,"Пятница, 24 июля
23:00 (UTC)",,,,,,,,,,,99.3,,,,южный,,,2,,,,,,,,,,,,751.0,7.8,,,,,,,
1595635200,"Суббота, 25 июля
00:00 (UTC)",,,,,,,,,,,100.0,,,,южный,,,2,,,,,,,,,,,30.0,751.0,7.0,,,,,2.0,,
1595638800,"Суббота, 25 июля
01:00 (UTC)",,,,,,,,,,,99.3,,,,южный,,,2,,,,,,,,,,,,751.0,6.6,,,,,,,
1595642400,"Суббота, 25 июля
02:00 (UTC)",,,,,,,,,,,99.3,,,,южный,,,2,,,,,,,,,,,,751.0,6.9,,,,,,,
1595646000,"Суббота, 25 июля
03:00 (UTC)",,,,,,,,,,,99.3,,6.2,,южный,,,1,,,0,,,,0.7,,,,30.0,752.0,9.3,,,,,1.0,,
1595649600,"Суббота, 25 июля
04:00 (UTC)",,,,,,,,,,,93.0,,,,,,,0,,,,,,,,,,,,752.0,12.9,,,,,,,
1595653200,"Суббота, 25 июля
05:00 (UTC)",,,,,,,,,,,81.1,,,,северо-западный,,,1,,,,,,,,,,,,752.0,14.2,,,,,,,
1595656800,"Суббота, 25 июля
06:00 (UTC)",,,,,,,,,,,72.2,,,,западный,,,1,,,,,,,,,,,30.0,752.0,16.2,,,,,1.0,,
1595660400,"Суббота, 25 июля
07:00 (UTC)",,,,,,,,,,,62.1,,,,юго-западный,,,3,,,,,,,,,,,,752.0,17.1,,,,,,,
1595664000,"Суббота, 25 июля
08:00 (UTC)",,,,,,,,,,,56.8,,,,западный,,,1,,,,,,,,,,,,752.0,18.3,,,,,,,
1595667600,"Суббота, 25 июля
09:00 (UTC)",,,,,,,,,,,57.3,,,,северо-западный,,,2,,,,,,,,,,,30.0,752.0,18.7,,,,,6.0,,
1595671200,"Суббота, 25 июля
10:00 (UTC)",,,,,,,,,,,48.7,,,,северо-западный,,,2,,,,,,,,,,,,753.0,19.7,,,,,,,
1595674800,"Суббота, 25 июля
11:00 (UTC)",,,,,,,,,,,46.6,,,,западный,,,2,,,,,,,,,,,,753.0,20.5,,,,,,,
