timestamp,date,Ливневой снег умеренный или сильный,Морось (незамерзающая) умеренная непрерывная,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Ливневой дождь со снегом слабый,"Высота снежного покрова, см",В окрестности станции тумана нет,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Морось (незамерзающая) слабая с перерывами,Ливневый дождь,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,Балл общей облачности,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) умеренный непрерывный
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,9.6,45.5,,,,,,северный,2.0,,,4.0,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,6.8,64.1,,,,,,северный,2.0,,,4.0,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,6.6,64.6,,,,,,северный,10.0,,,3.0,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,50.0,759,,,8.0,65.8,,,5.8,,,северный,9.0,,,3.0,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,11.3,57.8,,,,,,,9.0,,,0.0,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,11.5,52.8,,,,,,юго-восточный,9.0,,,3.0,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,11.6,54.7,,,,,,западный,7.0,,,2.0,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,True,,,,,,50.0,756,,,9.9,61.7,,,,,,северо-западный,10.0,,14.5,7.0,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,8.2,61.3,,,,True,,северный,9.0,,,5.0,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,755,,,7.4,58.5,,,,,,северный,9.0,,,4.0,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,754,,,7.0,62.8,,,,,,северный,9.0,,,5.0,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,менее 0.1,,,,,,менее 0.1,,,True,,,,,,50.0,754,,,7.8,67.2,,,6.8,,,северный,10.0,,,6.0,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,754,,,8.4,64.5,,,,True,,северо-западный,10.0,,,5.0,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,753,,,10.9,56.1,,,,,,северный,10.0,,,3.0,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,753,,,10.7,51.4,,,,,,северный,10.0,,,2.0,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,753,,,9.9,53.5,,,,,,северо-западный,9.0,,11.5,2.0,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,50.0,754,,,4.9,81.5,,,,,,юго-восточный,2.0,,,2.0,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,2.0,753,,,4.0,89.9,True,,,,,юго-восточный,10.0,,,2.0,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,True,,,1.0,753,,,3.5,91.2,,,,,,южный,10.0,,,1.0,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,менее 0.1,,,,True,,менее 0.1,,,,,,,,,2.0,753,,,3.9,89.9,,,3.3,,,южный,10.0,,,1.0,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,752,,,7.3,72.6,,,,,,,10.0,,,0.0,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,751,,,7.7,66.2,,,,,,южный,7.0,,,4.0,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,20.0,750,,,8.3,64.0,,,,,,южный,9.0,,,2.0,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,10.0,,,,0,,,,,,,,,,,,,,,20.0,750,,,5.4,70.1,,,,,,юго-восточный,10.0,,9.6,6.0,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,750,,,4.8,73.1,,,,,,восточный,10.0,,,2.0,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,749,,,4.9,72.6,,,,,,,10.0,,,0.0,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,749,,,4.5,78.0,,,,,,северо-западный,10.0,,,1.0,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,50.0,749,,,6.5,67.9,,,4.4,,,западный,10.0,,,1.0,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,749,,,8.5,59.6,,,,,,западный,10.0,,,1.0,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,749,,,9.5,58.2,,,,,,,10.0,,,0.0,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,749,,,7.8,68.2,,,,,,южный,10.0,,,1.0,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,1,,,,,,,,,,True,,,,,20.0,750,,,5.7,83.9,,,,,,юго-восточный,10.0,,10.5,1.0,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,20.0,750,,,5.4,84.5,,,,,,юго-восточный,10.0,,,2.0,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,750,,,4.4,85.0,,,,,,юго-восточный,10.0,,,2.0,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,751,,,3.6,84.9,,,,,,юго-восточный,10.0,,,3.0,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,5,,,,,,6,,,,True,,,,,10.0,751,,,3.9,79.6,,,3.5,,,юго-восточный,10.0,,,2.0,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,751,,,4.4,78.5,,,,,,юго-восточный,10.0,,,4.0,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,11.0,,,,,,,,,,,,,,True,,,,,20.0,751,,,4.7,72.6,,,,,,юго-восточный,10.0,,,6.0,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,10.0,,,,,,,,,,,,,,True,,,,,20.0,751,,,4.6,73.6,,,,,,юго-восточный,10.0,,,4.0,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,0.7,,,,,,,,,True,,,,,,20.0,751,,,3.8,73.5,,,,,,юго-восточный,10.0,,5.4,2.0,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,3.4,73.4,,,,True,,восточный,10.0,,,1.0,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,751,,,2.7,76.0,,,,,,северный,6.0,,,1.0,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,751,,,2.5,71.6,,,,,,,7.0,,,0.0,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,менее 0.1,,,,,,0.7,,,,,,,,,50.0,751,,,5.2,72.7,,,2.3,,,северо-западный,4.0,,,2.0,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,750,,,8.4,49.3,,,,,,западный,2.0,,,1.0,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,750,,,10.5,59.7,,,,,,северо-западный,2.0,,,1.0,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,750,,,7.8,62.1,,,,,,юго-восточный,6.0,,,4.0,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,750,,,5.1,71.6,,,,,,юго-восточный,2.0,,10.7,5.0,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,751,,,4.3,75.7,,,,,,юго-восточный,6.0,,,3.0,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,751,,,3.8,80.2,,,,,,восточный,4.0,,,2.0,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,50.0,752,,,3.4,79.5,,,,,,северный,2.0,,,3.0,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,50.0,752,,,4.9,74.8,,,3.0,,,северо-западный,1.0,,,2.0,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,751,,,10.2,61.8,,,,,,южный,2.0,,,1.0,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,750,,,12.3,56.9,,,,,,юго-восточный,4.0,,,3.0,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,750,,,13.2,45.5,,,,,,западный,9.0,,,5.0,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,750,,,10.7,54.5,,,,,,западный,9.0,,15.3,5.0,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,751,,,10.0,45.6,,,,,,северный,10.0,,,3.0,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,751,,,8.6,57.1,,,,,,северо-западный,10.0,,,6.0,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,752,,,7.8,60.3,,,,,,северный,7.0,,,5.0,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,50.0,753,,,9.7,55.4,,,7.6,,,северный,9.0,,,4.0,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,753,,,13.3,44.6,,,,,,юго-западный,7.0,,,2.0,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,753,,,12.6,50.2,,,,,,южный,9.0,,,3.0,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,754,,,10.2,65.4,,,,,,южный,2.0,,,3.0,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,0,,,,True,,,,,,,,,,,10.0,755,,,8.1,73.2,,,,,,юго-восточный,2.0,,14.6,3.0,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,6.3,79.4,,,,,,,4.0,,,0.0,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,6.8,68.0,,,,,,северный,6.0,,,5.0,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,6.3,66.4,,,,,,северный,5.0,,,4.0,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,50.0,757,,,8.7,61.0,,,6.2,,,северный,10.0,,,3.0,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,12.3,51.5,,,,,,западный,10.0,,,1.0,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,14.2,45.5,,,,,,южный,10.0,,,2.0,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,11.9,56.4,,,,,,южный,10.0,,,1.0,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,757,,,8.3,66.8,,,,,,южный,10.0,,15.0,4.0,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,6.9,74.6,,,,,,юго-восточный,10.0,,,4.0,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,7.1,70.0,,,,,,восточный,10.0,,,1.0,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,20.0,757,,,6.7,70.9,,,,,,,10.0,,,0.0,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,0.4,,,,,,0.4,,,,,,,,,20.0,758,,,7.6,76.8,,,6.6,True,,западный,10.0,,,1.0,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,8.1,75.9,,,,True,,,10.0,,,0.0,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,11.7,60.0,,,,,,южный,9.0,,,2.0,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,8.9,71.3,,,,,,юго-восточный,9.0,,,5.0,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,758,,,7.3,77.3,,,,,,юго-восточный,2.0,,13.4,4.0,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,758,,,5.8,81.0,,,,,,юго-восточный,10.0,,,3.0,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,758,,,4.8,83.8,,,,,,восточный,10.0,,,2.0,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,758,,,5.8,81.6,,,,,,юго-восточный,10.0,,,2.0,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,0,,,,True,,0,,,,,,,,,10.0,759,,,6.9,79.5,,,4.7,,,южный,10.0,,,2.0,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,759,,,8.7,74.4,,,,,,южный,10.0,,,1.0,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,12.4,62.7,,,,,,юго-западный,10.0,,,1.0,
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,11.0,63.3,,,,,,юго-восточный,7.0,,,4.0,
1591174800,"Среда, 3 июня
09:00 (UTC)",,,11.0,,,,0,,,,,,,,,,,,,,,50.0,760,,,7.5,81.3,,,,,,юго-восточный,1.0,,13.6,4.0,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,760,,,5.6,87.0,,,,,,юго-восточный,7.0,,,3.0,
1591196400,"Среда, 3 июня
15:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,761,,,5.7,87.6,,,,,,юго-восточный,7.0,,,2.0,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,761,,,6.1,88.2,,,,,,,10.0,,,0.0,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,1,,,,,,1,,,,True,,,,,10.0,761,,,7.1,87.1,,,5.5,,,,10.0,,,0.0,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,761,,,9.4,78.2,,,,,,западный,10.0,,,1.0,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,761,,,9.5,80.4,,,,,,юго-восточный,10.0,,,3.0,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,761,,,8.6,83.7,,,,,,юго-восточный,10.0,,,4.0,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,0.1,,,,,,,,,,,True,,,,2.0,762,,,6.8,92.1,,,,,,юго-восточный,10.0,,10.5,3.0,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,4.0,762,,,6.7,90.8,,,,,,юго-восточный,10.0,,,3.0,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,True,4.0,762,,,6.7,92.7,,,,,,юго-восточный,10.0,,,2.0,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,,762,,,6.8,91.4,,,,,,юго-восточный,,,,3.0,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,True,,,4,,,,,,4,,,,,,,,,10.0,763,,,6.9,90.8,,,6.6,,,юго-восточный,10.0,,,3.0,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,True,,,,,,,,,,,,,,,,,,4.0,762,,,7.9,89.6,,,,,,южный,10.0,,,1.0,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,True,,,,,,,,,,,,,,,,,,10.0,762,,,8.5,88.4,,,,,,южный,10.0,,,1.0,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,True,,,,,,,,,,,,,,,,,,10.0,762,,,8.5,89.7,,,,,,,10.0,,,0.0,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,True,,,5,,,,,,,,,,,,,,,10.0,762,,,8.3,90.3,,,,,,южный,10.0,,8.7,1.0,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,True,,,,,,,,,,,,,,,,,,20.0,762,,,8.3,91.5,,,,,,северный,10.0,,,1.0,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,True,,,,,,,,,,,,,,,,,,10.0,761,,,7.8,92.1,,,,,,юго-восточный,10.0,,,1.0,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,,,,,,True,,,,2.0,760,,,7.7,92.7,,,,,,северо-западный,10.0,,,1.0,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,True,,,2,,,,,,7,,,,,,,,,2.0,760,,,7.9,93.4,,,7.6,,,северо-западный,10.0,,,2.0,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,759,,,9.0,89.1,,,,,,западный,10.0,,,1.0,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,2.0,759,,,9.6,89.8,,,,,,,10.0,,,0.0,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,9.5,87.9,,,,True,,юго-восточный,10.0,,,1.0,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,2,,,,,,,,,,True,,,,,10.0,759,,,9.4,88.5,,,,,,,10.0,,10.0,0.0,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,,,,,True,,,,,,10.0,760,,,9.0,91.6,,,,,,южный,10.0,,,1.0,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,760,,,7.9,92.1,,,,True,,юго-восточный,10.0,,,2.0,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,760,,,7.9,92.1,,,,,,южный,10.0,,,1.0,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,0.8,,,,,,3,,,,,,,,,10.0,761,,,9.5,87.9,,,7.5,,,,10.0,,,0.0,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,761,,,9.9,84.4,,,,,,южный,10.0,,,1.0,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,761,,,8.6,84.3,,,,True,,юго-восточный,10.0,,,4.0,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,True,,,,,10.0,761,,,8.2,87.8,,,,,,юго-восточный,10.0,,,3.0,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,1,,,,,,,,,,True,,,,,4.0,761,,,8.4,88.4,,,,,,западный,10.0,,11.0,1.0,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,13.0,,,,,,,,,,,,,,True,,,,,4.0,761,,,8.4,83.1,,,,,,юго-восточный,10.0,,,4.0,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,760,,,8.5,78.6,,,,True,,северный,10.0,,,4.0,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,10.0,,,,,,,,,,,,,,True,,,,,2.0,760,,,8.2,79.7,,,,,,северо-восточный,10.0,,,3.0,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,14.0,,,,5,,,,,,6,,,True,,,,,,10.0,760,,,10.5,64.1,,,7.4,,,восточный,10.0,,,5.0,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,16.0,,,,,,,,,,,,,,True,,,,,10.0,760,,,10.5,63.2,,,,,,северо-восточный,10.0,,,4.0,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,13.0,,,,,,,,,,,,,,,,,,,20.0,759,,,11.9,71.9,,,,True,,северный,10.0,,,2.0,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,19.0,,,,,,,,,,,,,,,,,,,20.0,759,,,10.8,54.9,,,,True,,восточный,10.0,,,7.0,
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,18.0,,,,0.8,,,,,,,,,,,,,,,20.0,759,,,10.3,54.4,,,,,,восточный,10.0,,12.2,3.0,
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,15.0,,,,,,,,,,,,,,,,,,,20.0,759,,,9.5,60.8,,,,,,северо-восточный,10.0,,,4.0,
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,759,,,8.2,68.7,,,,,,северный,10.0,,,2.0,
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,12.0,,,,,,,,,,,,,,,,,,,20.0,759,,,9.7,58.7,,,,,,северный,10.0,,,3.0,
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,0,,,,,,0.8,,,,,,,,,20.0,759,,,9.9,60.0,,,7.9,,,западный,10.0,,,1.0,
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,21.0,,,,,,,,,,,,,,,,,,,20.0,758,,,12.3,49.4,,,,,,восточный,10.0,,,4.0,
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,15.0,,,,,,,,,,,,,,,,,,,20.0,758,,,14.0,47.1,,,,,,восточный,9.0,,,6.0,
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,14.0,,,,,,,,,,,,,,,,,,,20.0,759,,,11.2,55.0,,,,,,восточный,9.0,,,5.0,
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,17.0,,,,0,,,,,,,,,,,,,,,20.0,760,,,11.1,53.4,,,,,,восточный,7.0,,14.4,5.0,
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,15.0,,,,,,,,,,,,,,,,,,,20.0,760,,,8.7,61.9,,,,,,восточный,9.0,,-0.6,5.0,
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,12.0,,,,,,,,,,,,,,,,,,,20.0,760,,,8.0,68.7,,,,,,северный,9.0,,,2.0,
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,761,,,5.9,79.9,,,,,,,2.0,,,0.0,
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,0,,,,,,0,,,,,,,,,20.0,761,,,10.1,68.6,,,5.7,,,,2.0,,,0.0,
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,11.7,66.2,,,,,,южный,2.0,,,1.0,
1591758000,"Среда, 10 июня
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,11.9,60.9,,,,,,южный,2.0,,,3.0,
1591768800,"Среда, 10 июня
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,759,,,8.1,71.7,,,,,,юго-восточный,7.0,,,6.0,
1591779600,"Среда, 10 июня
09:00 (UTC)",,,10.0,,,,0,,,,True,,,,,,,,,,,10.0,760,,,4.9,85.1,,,,,,юго-восточный,10.0,,13.9,5.0,
1591790400,"Среда, 10 июня
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,760,,,3.8,89.9,,,,,,юго-восточный,10.0,,,2.0,
1591801200,"Среда, 10 июня
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,2.0,759,,,3.9,91.2,True,,,,,северный,10.0,,,2.0,
1591812000,"Среда, 10 июня
18:00 (UTC)",,True,,,,,,,,,,,,,,,,,,,,2.0,759,,,4.5,92.6,,,,,,северный,10.0,,,4.0,
1591822800,"Среда, 10 июня
21:00 (UTC)",,,,,,,менее 0.1,,,,,,менее 0.1,,,,,True,,,,2.0,759,,,5.7,90.1,,,3.7,,,западный,10.0,,,1.0,
1591833600,"Четверг, 11 июня
00:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,4.0,758,,,11.4,69.9,,,,,,южный,7.0,,,1.0,
1591844400,"Четверг, 11 июня
03:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,50.0,758,,,8.0,73.7,,,,,,юго-восточный,2.0,,,6.0,
1591855200,"Четверг, 11 июня
06:00 (UTC)",,,10.0,,,,,,,,True,,,,,,,,,,,50.0,758,,,8.0,69.7,,,,,,юго-восточный,7.0,,,5.0,
1591866000,"Четверг, 11 июня
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,20.0,759,,,6.0,80.5,,,,,True,юго-восточный,7.0,,11.4,4.0,
1591876800,"Четверг, 11 июня
12:00 (UTC)",,,,,,,,,,,True,,,,,,,,,,,10.0,759,,,4.0,89.3,,,,,,юго-восточный,7.0,,,2.0,
