timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) умеренный с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1594198800,"Среда, 8 июля
09:00 (UTC)",,,,,,,,28.6,,,северо-западный,,,2,,,,,,,,,,,,696,,,30.8,,,7.0,
1594209600,"Среда, 8 июля
12:00 (UTC)",,,,,,,,29.9,,,северо-западный,,,2,,,,,,,,,,,50.0,695,,,31.3,,,5.0,
1594220400,"Среда, 8 июля
15:00 (UTC)",,,,,,,True,45.6,,,юго-западный,,33.2,2,,,,0,,,,,,,10.0,697,,,27.7,,,9.0,
1594231200,"Среда, 8 июля
18:00 (UTC)",,,,,,,,81.0,,,южный,,,1,,,,,,,,,,,10.0,698,,,21.5,,True,9.0,
1594242000,"Среда, 8 июля
21:00 (UTC)",,,,,,,,81.4,,,южный,,,1,,,,,,,,,,,10.0,698,,,20.5,,,7.0,
1594252800,"Четверг, 9 июля
00:00 (UTC)",,,,,,,,78.8,,,,,,0,,,,,,,,,,,10.0,699,,,20.1,,,10.0,
1594263600,"Четверг, 9 июля
03:00 (UTC)",,,,,,,,73.5,,19.5,западный,,,1,,,,0.3,,0.3,,,,,20.0,700,,,20.5,,,10.0,
1594274400,"Четверг, 9 июля
06:00 (UTC)",,,,,,,,90.3,,17.6,западный,,,2,,,,,,,,,,,2.0,702,,True,17.6,,,10.0,
1594285200,"Четверг, 9 июля
09:00 (UTC)",,,,,,,,74.1,,,южный,,,1,,,,,,,,,,,10.0,701,,,21.1,,True,10.0,
1594296000,"Четверг, 9 июля
12:00 (UTC)",,,,,,,,62.0,,,южный,,,1,,,,,,,,,,,20.0,701,,,23.6,,True,9.0,
1594306800,"Четверг, 9 июля
15:00 (UTC)",,,,,,,,58.4,,,юго-восточный,,25.5,2,,,,15,,,,,,,20.0,701,,,23.3,,,9.0,
1594317600,"Четверг, 9 июля
18:00 (UTC)",,,,,,,,78.2,,,юго-восточный,,,2,,,,,,,,,,,10.0,702,,,19.6,,,9.0,
1594328400,"Четверг, 9 июля
21:00 (UTC)",,,,,,,,79.0,,,южный,,,1,,,,,,,,,,,10.0,702,,,18.5,,,9.0,
1594339200,"Пятница, 10 июля
00:00 (UTC)",,,,,,,,82.7,,,западный,,,2,,,,,,,,,,,10.0,702,,,18.8,,,10.0,
1594350000,"Пятница, 10 июля
03:00 (UTC)",,,,,,,,85.9,,18.2,западный,,,1,,,,0,,15,,True,,,4.0,703,,,18.5,,,10.0,
1594360800,"Пятница, 10 июля
06:00 (UTC)",,,,,,,,88.1,,17.8,восточный,,,1,,,,,,,True,,,,4.0,703,,,17.8,,,10.0,
1594371600,"Пятница, 10 июля
09:00 (UTC)",,,,,,,,80.2,,,западный,,,1,,,,,,,,True,,,4.0,703,,,19.7,,,10.0,
1594382400,"Пятница, 10 июля
12:00 (UTC)",,,,,,,,68.0,,,западный,,,2,,,,,,,,,,,10.0,703,,,22.6,,True,10.0,
1594393200,"Пятница, 10 июля
15:00 (UTC)",,,,,,,,67.0,,,,,23.6,0,,,,0.7,,,,,,,10.0,703,,,22.0,,,10.0,
1594404000,"Пятница, 10 июля
18:00 (UTC)",,,,,,,,88.1,,,южный,,,2,,,,,,,True,,,,4.0,704,,,18.5,,,9.0,
1594414800,"Пятница, 10 июля
21:00 (UTC)",,,,,,,,84.8,,,юго-восточный,,,2,,,,,,,,True,,,4.0,703,,,18.4,,,10.0,
1594425600,"Суббота, 11 июля
00:00 (UTC)",,,,,,,,82.2,,,южный,,,2,,,,,,,,True,,,4.0,703,,,18.5,,,10.0,
1594436400,"Суббота, 11 июля
03:00 (UTC)",,,,,,,,75.5,,18.0,южный,,,2,,,,1,,2,,,,,10.0,703,,,18.2,,,10.0,
1594447200,"Суббота, 11 июля
06:00 (UTC)",,,,,,,,68.7,,,южный,,,2,,,,,,,,,,,20.0,703,,,19.7,,,10.0,
1594458000,"Суббота, 11 июля
09:00 (UTC)",,,,,,,,49.6,,,южный,,,1,,,,,,,,,,,20.0,703,,,24.1,,,7.0,
1594468800,"Суббота, 11 июля
12:00 (UTC)",,,,,,,,47.4,,,южный,,,2,,,,,,,,,,,20.0,702,,,24.3,,,9.0,
1594479600,"Суббота, 11 июля
15:00 (UTC)",,,,,,,,56.3,,,юго-восточный,,26.6,2,,,,0,,,,,,,20.0,701,,,22.3,,,9.0,
1594490400,"Суббота, 11 июля
18:00 (UTC)",,,,,,,,65.7,,,южный,,,2,,,,,,,,,,,10.0,701,,,19.9,,,5.0,
1594501200,"Суббота, 11 июля
21:00 (UTC)",,,,,,,,62.0,,,южный,,,2,,,,,,,,,,,10.0,700,,,20.1,,,7.0,
1594512000,"Воскресенье, 12 июля
00:00 (UTC)",,,,,,,,63.5,,,южный,,,1,,,,,,,,,,,10.0,700,,,19.5,,,7.0,
1594522800,"Воскресенье, 12 июля
03:00 (UTC)",,,,,,,,61.2,,19.4,юго-восточный,,,2,,,,0,,0,,,,,20.0,699,,,20.2,,,7.0,
1594533600,"Воскресенье, 12 июля
06:00 (UTC)",,,,,,,,40.7,,,юго-западный,,,1,,,,,,,,,,,20.0,699,,,27.1,,,7.0,
1594544400,"Воскресенье, 12 июля
09:00 (UTC)",,,,,,,,40.0,,,восточный,,,2,,,,,,,,,,,20.0,698,,,28.6,,,7.0,
1594555200,"Воскресенье, 12 июля
12:00 (UTC)",,,,,,,,40.6,,,южный,,,1,,,,,,,,,,,20.0,697,,,27.8,,,7.0,
1594566000,"Воскресенье, 12 июля
15:00 (UTC)",,,,,,,,46.7,,,южный,,29.2,1,,,,0,,,,,,,20.0,696,,,26.5,,,7.0,
1594576800,"Воскресенье, 12 июля
18:00 (UTC)",,,,,,,,64.9,,,юго-западный,,,1,,,,,,,,,,,10.0,696,,,22.1,,,6.0,
1594587600,"Воскресенье, 12 июля
21:00 (UTC)",,,,,,,,64.5,,,южный,,,1,,,,,,,,,,,10.0,695,,,20.1,,,5.0,
1594598400,"Понедельник, 13 июля
00:00 (UTC)",,,,,,,,65.1,,,южный,,,1,,,,,,,,,,,10.0,694,,,18.8,,,4.0,
1594609200,"Понедельник, 13 июля
03:00 (UTC)",,,,,,,,61.8,,18.3,юго-восточный,,,2,,,,0,,0,,,,,20.0,694,,,19.2,,,6.0,
1594620000,"Понедельник, 13 июля
06:00 (UTC)",,,,,,,,44.4,,,западный,,,2,,,,,,,,,,,50.0,694,,,26.4,,,6.0,
1594630800,"Понедельник, 13 июля
09:00 (UTC)",,,,,,,,38.2,,,северо-западный,,,2,,,,,,,,,,,20.0,693,,,28.6,,,7.0,
1594641600,"Понедельник, 13 июля
12:00 (UTC)",,,,True,,,,76.1,,,юго-восточный,,,2,,,,,,,,,,,20.0,693,,,22.1,,,10.0,
1594652400,"Понедельник, 13 июля
15:00 (UTC)",,,,,,,,74.8,,,южный,,30.5,1,,,,2,,,,,,,20.0,693,,,22.8,,True,9.0,
1594663200,"Понедельник, 13 июля
18:00 (UTC)",,,,,,,,80.9,,,юго-западный,,,1,,,,,,,,,,,10.0,694,,,20.7,,True,10.0,
1594674000,"Понедельник, 13 июля
21:00 (UTC)",,,,,,,,83.8,,,,,,0,,,,,,,,,,,10.0,695,,,18.9,,,7.0,
1594684800,"Вторник, 14 июля
00:00 (UTC)",,,,,,,,79.7,,,восточный,,,1,,,,,,,,,,,10.0,696,,,19.3,,,9.0,
1594695600,"Вторник, 14 июля
03:00 (UTC)",,,,,,,,79.7,,18.4,южный,,,1,,,,0,,2,,,,,20.0,697,,,19.3,,,9.0,
1594706400,"Вторник, 14 июля
06:00 (UTC)",,,,,,,,60.7,,,восточный,,,2,,,,,,,,,,,20.0,698,,,21.6,,,10.0,
1594717200,"Вторник, 14 июля
09:00 (UTC)",,,,,,,,53.2,,,южный,,,2,,,,,,,,,,,20.0,698,,,24.1,,,9.0,
1594728000,"Вторник, 14 июля
12:00 (UTC)",,,,,,,,47.4,,,юго-восточный,,,3,,,,,,,,,,,20.0,698,,,25.4,,,9.0,
1594738800,"Вторник, 14 июля
15:00 (UTC)",,,,,,,,57.1,,,южный,,26.1,1,,,,0,,,,,,,20.0,699,,,23.7,,,9.0,
1594749600,"Вторник, 14 июля
18:00 (UTC)",,,,,,,,65.5,,,юго-восточный,,,3,,,,,,,,,,,10.0,700,,,21.0,,,9.0,
1594760400,"Вторник, 14 июля
21:00 (UTC)",,,,,,,,66.9,,,южный,,,1,,,,,,,,,,,10.0,700,,,19.4,,,6.0,
1594771200,"Среда, 15 июля
00:00 (UTC)",,,,,,,,69.8,,,южный,,,1,,,,,,,,,,,10.0,701,,,18.1,,,10.0,
1594782000,"Среда, 15 июля
03:00 (UTC)",,,,,,,,71.7,,17.9,южный,,,1,,,,0,,0,,,,,20.0,702,,,18.2,,,9.0,
1594792800,"Среда, 15 июля
06:00 (UTC)",,,,,,,,65.2,,,западный,,,2,,,,,,,,,,,20.0,702,,,21.4,,,9.0,
1594803600,"Среда, 15 июля
09:00 (UTC)",,,,,,,,59.8,,,восточный,,,1,,,,,,,,,,,20.0,702,,,22.5,,,10.0,
1594814400,"Среда, 15 июля
12:00 (UTC)",,,,,,,,63.8,,,южный,,,1,,,,,,,,,,,10.0,702,,,22.6,,,10.0,
1594825200,"Среда, 15 июля
15:00 (UTC)",,,,,,,,68.8,,,западный,,23.5,1,,,,0,,,,,,,10.0,702,,,22.2,,,10.0,
1594836000,"Среда, 15 июля
18:00 (UTC)",,,,,,,,78.3,,,южный,,,1,,,,,,,,,,,10.0,702,,,20.4,,,9.0,
1594846800,"Среда, 15 июля
21:00 (UTC)",,,,,,,,81.7,,,южный,,,1,,,,,,,,,,,10.0,701,,,19.4,,,10.0,
1594857600,"Четверг, 16 июля
00:00 (UTC)",,,,,,,,85.3,,,,,,0,,,,,,,,,,,10.0,700,,,17.6,,,7.0,
1594868400,"Четверг, 16 июля
03:00 (UTC)",,,,,,,,79.5,,16.9,юго-восточный,,,1,,,,0,,0,,,,,50.0,701,,,18.2,,,4.0,
1594879200,"Четверг, 16 июля
06:00 (UTC)",,,,,,,,49.2,,,северо-восточный,,,1,,,,,,,,,,,20.0,700,,,25.1,,,5.0,
1594890000,"Четверг, 16 июля
09:00 (UTC)",,,,,,,,50.1,,,северо-западный,,,1,,,,,,,,,,,20.0,700,,,26.1,,,9.0,
1594900800,"Четверг, 16 июля
12:00 (UTC)",,,,,,,,46.5,,,юго-восточный,,,1,,,,,,,,,,,20.0,699,,,26.8,,,9.0,
1594911600,"Четверг, 16 июля
15:00 (UTC)",,,,,,,,46.1,,,восточный,,28.6,2,,,,0,,,,,,,20.0,699,,,26.4,,,9.0,
1594922400,"Четверг, 16 июля
18:00 (UTC)",,,,,,,,76.5,,,юго-восточный,,,1,,,,,,,,,,,10.0,699,,,21.3,,,2.0,
1594933200,"Четверг, 16 июля
21:00 (UTC)",,,,,,,,74.8,,,южный,,,1,,,,,,,,,,,10.0,698,,,20.0,,,2.0,
1594944000,"Пятница, 17 июля
00:00 (UTC)",,,,,,,,80.5,,,,,,0,,,,,,,,,,,10.0,697,,,17.9,,,0.0,
1594954800,"Пятница, 17 июля
03:00 (UTC)",,,,,,,,76.1,,17.1,южный,,,1,,,,0,,0,,,,,20.0,697,,,18.7,,,5.0,
1594965600,"Пятница, 17 июля
06:00 (UTC)",,,,,,,,54.1,,,северо-западный,,,2,,,,,,,,,,,20.0,697,,,26.0,,,7.0,
1594976400,"Пятница, 17 июля
09:00 (UTC)",,,,,,,,75.0,,,юго-восточный,,,1,,,,,,,True,,,,20.0,698,,,21.0,,,10.0,
1594987200,"Пятница, 17 июля
12:00 (UTC)",,11.0,,,,,,40.1,,,,,,0,,,,,,,,,,,50.0,696,,,25.9,,True,7.0,
1594998000,"Пятница, 17 июля
15:00 (UTC)",,,,,,,,50.0,,,западный,,26.8,3,,,,0.3,,,,,,,20.0,697,,,25.8,,,4.0,
1595008800,"Пятница, 17 июля
18:00 (UTC)",,,,,,,,66.6,,,южный,,,1,,,True,,,,,,,,10.0,699,,,22.0,,,9.0,
1595019600,"Пятница, 17 июля
21:00 (UTC)",,,,,,,,70.6,,,юго-западный,,,1,,,,,,,,,,,10.0,699,,,19.7,,,10.0,
1595030400,"Суббота, 18 июля
00:00 (UTC)",,,,,,,,85.2,,,южный,,,1,,,,,,,,,,,10.0,699,,,16.6,,,2.0,
1595041200,"Суббота, 18 июля
03:00 (UTC)",,,,,,,,74.5,,16.2,юго-восточный,,,1,,,,0,,0.3,,,,,50.0,699,,,18.2,,,0.0,
1595052000,"Суббота, 18 июля
06:00 (UTC)",,,,,,,,50.5,,,северо-западный,,,1,,,,,,,,,,,50.0,699,,,25.1,,,0.0,
1595062800,"Суббота, 18 июля
09:00 (UTC)",,,,,,,,43.4,,,северо-западный,,,1,,,,,,,,,,,20.0,699,,,28.1,,,1.0,
1595073600,"Суббота, 18 июля
12:00 (UTC)",,,,,,,,41.1,,,восточный,,,2,,,,,,,,,,,20.0,699,,,28.7,,,7.0,
1595084400,"Суббота, 18 июля
15:00 (UTC)",,,,,,,,41.3,,,восточный,,30.4,2,,,,0,,,,,,,20.0,699,,,28.5,,,9.0,
1595095200,"Суббота, 18 июля
18:00 (UTC)",,,,,,,,73.9,,,,,,0,,,,,,,,,,,10.0,699,,,23.0,,,2.0,
1595106000,"Суббота, 18 июля
21:00 (UTC)",,,,,,,,76.9,,,южный,,,1,,,,,,,,,,,10.0,699,,,20.7,,,0.0,
1595116800,"Воскресенье, 19 июля
00:00 (UTC)",,,,,,,,77.7,,,южный,,,1,,,,,,,,,,,10.0,699,,,19.5,,,0.0,
1595127600,"Воскресенье, 19 июля
03:00 (UTC)",,,,,,,,70.3,,18.9,южный,,,1,,,,0,,0,,,,,20.0,699,,,20.9,,,1.0,
1595138400,"Воскресенье, 19 июля
06:00 (UTC)",,,,,,,,46.5,,,западный,,,2,,,,,,,,,,,20.0,699,,,27.9,,,2.0,
1595149200,"Воскресенье, 19 июля
09:00 (UTC)",,,,,,,,44.5,,,западный,,,2,,,,,,,,,,,20.0,699,,,30.2,,,5.0,
1595160000,"Воскресенье, 19 июля
12:00 (UTC)",,,,,,,,33.1,,,западный,,,2,,,,,,,,,,,20.0,698,,,33.3,,,2.0,
1595170800,"Воскресенье, 19 июля
15:00 (UTC)",,,,,,,,37.7,,,северо-западный,,34.2,2,,,,0,,,,,,,20.0,698,,,31.8,,,1.0,
1595181600,"Воскресенье, 19 июля
18:00 (UTC)",,,,,,,,68.1,,,юго-восточный,,,2,,,,,,,,,,,10.0,699,,,25.1,,,0.0,
1595192400,"Воскресенье, 19 июля
21:00 (UTC)",,,,,,,,73.8,,,юго-восточный,,,1,,,,,,,,,,,10.0,698,,,22.6,,,0.0,
1595203200,"Понедельник, 20 июля
00:00 (UTC)",,,,,,,,77.4,,,южный,,,1,,,,,,,,,,,10.0,698,,,21.0,,,0.0,
1595214000,"Понедельник, 20 июля
03:00 (UTC)",,,,,,,,65.9,,20.4,,,,0,,,,0,,0,,,,,50.0,698,,,22.8,,,0.0,
1595224800,"Понедельник, 20 июля
06:00 (UTC)",,,,,,,,44.7,,,северный,,,1,,,,,,,,,,,50.0,698,,,29.6,,,1.0,
1595235600,"Понедельник, 20 июля
09:00 (UTC)",,,,,,,,38.1,,,западный,,,2,,,,,,,,,,,20.0,698,,,31.7,,,2.0,
1595246400,"Понедельник, 20 июля
12:00 (UTC)",,,,,,,,32.8,,,западный,,,2,,,,,,,,,,,20.0,697,,,33.8,,,2.0,
1595257200,"Понедельник, 20 июля
15:00 (UTC)",,,,,,,,41.1,,,западный,,34.6,1,,,,0,,,,,,,20.0,697,,,31.5,,,7.0,
1595268000,"Понедельник, 20 июля
18:00 (UTC)",,,,,,,,61.6,,,южный,,,1,,,,,,,,,,,10.0,698,,,27.0,,,7.0,
1595278800,"Понедельник, 20 июля
21:00 (UTC)",,,,,,,,59.8,,,южный,,,2,,,,,,,,,,,10.0,697,,,25.6,,,2.0,
1595289600,"Вторник, 21 июля
00:00 (UTC)",,,,,,,,68.9,,,юго-восточный,,,3,,,,,,,,,,,10.0,697,,,22.8,,,9.0,
1595300400,"Вторник, 21 июля
03:00 (UTC)",True,,,,,,,77.4,,20.5,юго-западный,,,1,,,,менее 0.1,,менее 0.1,,,,,20.0,698,,,20.6,,,9.0,
1595311200,"Вторник, 21 июля
06:00 (UTC)",,,,,,,,42.0,,19.7,западный,,,3,,,,,,,,,,,20.0,697,,,26.9,,True,2.0,
1595322000,"Вторник, 21 июля
09:00 (UTC)",,,,,,,,31.0,,,западный,,,2,,,,,,,,,,,20.0,697,,,30.2,,,7.0,
1595332800,"Вторник, 21 июля
12:00 (UTC)",,,,,,,,30.7,,,юго-восточный,,,2,,,,,,,,,,,10.0,696,,,30.6,,,9.0,
1595343600,"Вторник, 21 июля
15:00 (UTC)",,13.0,,,,,,81.6,,,юго-западный,,31.7,1,,,,0.3,,,,,,,10.0,700,,,18.3,,True,10.0,
1595354400,"Вторник, 21 июля
18:00 (UTC)",,,,,,,,73.7,,,западный,,,1,,,,,,,,,,,10.0,700,,,18.9,,True,10.0,
1595365200,"Вторник, 21 июля
21:00 (UTC)",,,,,,,,81.0,,,юго-восточный,,,1,,,,,,,,,,,10.0,701,,,18.0,,,10.0,
1595376000,"Среда, 22 июля
00:00 (UTC)",,,,,,,,82.1,,,южный,,,1,,,,,,,,,,,10.0,700,,,18.0,,,10.0,
1595386800,"Среда, 22 июля
03:00 (UTC)",,,,,,,,78.0,,17.9,южный,,,1,,,,0,,0.3,,,,,10.0,701,,,18.6,,,10.0,
1595397600,"Среда, 22 июля
06:00 (UTC)",,,,,,,,56.1,,,западный,,,1,,,,,,,,,,,10.0,701,,,22.9,,,7.0,
1595408400,"Среда, 22 июля
09:00 (UTC)",,,,,,,,49.1,,,северный,,,2,,,,,,,,,,,20.0,700,,,23.7,,,9.0,
1595419200,"Среда, 22 июля
12:00 (UTC)",,,,,,,,59.0,,,юго-восточный,,,2,,,,,,,,,,,20.0,700,,,22.6,,,9.0,
1595430000,"Среда, 22 июля
15:00 (UTC)",,,,,,,,58.5,,,юго-восточный,,24.7,3,,,,0,,,,,,,20.0,700,,,22.0,,,10.0,
1595440800,"Среда, 22 июля
18:00 (UTC)",,,,,,,,55.4,,,юго-восточный,,,2,,,,,,,,,,,10.0,700,,,21.4,,,10.0,
1595451600,"Среда, 22 июля
21:00 (UTC)",,,,,,,,60.8,,,южный,,,1,,,,,,,,,,,10.0,700,,,20.3,,,10.0,
1595462400,"Четверг, 23 июля
00:00 (UTC)",,,,,,,,63.5,,,южный,,,1,,,,,,,,,,,10.0,700,,,19.4,,,10.0,
1595473200,"Четверг, 23 июля
03:00 (UTC)",,,,,,,,68.0,,17.3,юго-восточный,,,2,,,,0,,0,,,,,20.0,700,,,18.2,,,7.0,
1595484000,"Четверг, 23 июля
06:00 (UTC)",,,,,,,,40.4,,,северный,,,1,,,,,,,,,,,20.0,700,,,25.4,,,2.0,
1595494800,"Четверг, 23 июля
09:00 (UTC)",,,,,,,,33.2,,,восточный,,,1,,,,,,,,,,,20.0,699,,,27.6,,,5.0,
1595505600,"Четверг, 23 июля
12:00 (UTC)",,,,,,,,34.9,,,южный,,,2,,,,,,,,,,,20.0,699,,,28.0,,,7.0,
1595516400,"Четверг, 23 июля
15:00 (UTC)",,,,,,,,41.4,,,юго-западный,,29.7,1,,,,0,,,,,,,20.0,699,,,27.0,,,9.0,
1595527200,"Четверг, 23 июля
18:00 (UTC)",,,,,,,,64.2,,,южный,,,1,,,,,,,,,,,10.0,699,,,22.6,,,9.0,
1595538000,"Четверг, 23 июля
21:00 (UTC)",,,,,,,,66.2,,,южный,,,1,,,,,,,,,,,10.0,699,,,20.2,,,0.0,
1595548800,"Пятница, 24 июля
00:00 (UTC)",,,,,,,,72.1,,,юго-восточный,,,1,,,,,,,,,,,10.0,699,,,18.3,,,5.0,
1595559600,"Пятница, 24 июля
03:00 (UTC)",,,,,,,,70.3,,16.8,южный,,,1,,,,0,,0,,,,,50.0,699,,,18.4,,,4.0,
1595570400,"Пятница, 24 июля
06:00 (UTC)",,,,,,,,40.5,,,северо-западный,,,2,,,,,,,,,,,50.0,699,,,23.5,,,5.0,
1595581200,"Пятница, 24 июля
09:00 (UTC)",,,,,,,,31.3,,,северо-западный,,,2,,,,,,,,,,,20.0,699,,,27.6,,,2.0,
1595592000,"Пятница, 24 июля
12:00 (UTC)",,,,,,,,30.3,,,юго-восточный,,,2,,,,,,,,,,,20.0,699,,,28.4,,,7.0,
1595602800,"Пятница, 24 июля
15:00 (UTC)",,,,,,,,37.3,,,юго-западный,,30.2,1,,,,0,,,,,,,20.0,699,,,26.9,,,7.0,
1595613600,"Пятница, 24 июля
18:00 (UTC)",,,,,,,,58.4,,,южный,,,1,,,,,,,,,,,10.0,699,,,23.1,,,9.0,
1595624400,"Пятница, 24 июля
21:00 (UTC)",,,,,,,,61.4,,,южный,,,1,,,,,,,,,,,10.0,699,,,21.1,,,9.0,
1595635200,"Суббота, 25 июля
00:00 (UTC)",,,,,,,,59.4,,,южный,,,1,,,,,,,,,,,10.0,699,,,20.9,,,9.0,
1595646000,"Суббота, 25 июля
03:00 (UTC)",,,,,,,,64.9,,18.2,южный,,,1,,,,0,,0,,,,,20.0,699,,,20.0,,,1.0,
1595656800,"Суббота, 25 июля
06:00 (UTC)",,,,,,,,42.8,,,северо-западный,,,2,,,,,,,,,,,20.0,699,,,25.9,,,1.0,
1595667600,"Суббота, 25 июля
09:00 (UTC)",,,,,,,,36.6,,,северо-западный,,,3,,,,,,,,,,,20.0,699,,,28.8,,,2.0,
1595678400,"Суббота, 25 июля
12:00 (UTC)",,,,,,,,36.4,,,юго-восточный,,,1,,,,,,,,,,,20.0,699,,,29.1,,,9.0,
1595689200,"Суббота, 25 июля
15:00 (UTC)",,,,,,,,40.9,,,южный,,29.8,1,,,,0,,,,,,,20.0,699,,,28.8,,,7.0,
1595700000,"Суббота, 25 июля
18:00 (UTC)",,,,,,,,62.1,,,,,,0,,,,,,,,,,,10.0,699,,,24.1,,,5.0,
1595710800,"Суббота, 25 июля
21:00 (UTC)",,,,,,,,66.0,,,южный,,,1,,,,,,,,,,,10.0,699,,,21.2,,,4.0,
1595721600,"Воскресенье, 26 июля
00:00 (UTC)",,,,,,,,73.8,,,,,,0,,,,,,,,,,,10.0,699,,,19.6,,,6.0,
1595732400,"Воскресенье, 26 июля
03:00 (UTC)",,,,,,,,73.4,,19.2,,,,0,,,,0,,0,,,,,20.0,699,,,20.0,,,10.0,
1595743200,"Воскресенье, 26 июля
06:00 (UTC)",,,,,,,,67.5,,,западный,,,2,,,,,,,,,,,20.0,700,,,22.2,,,9.0,
1595754000,"Воскресенье, 26 июля
09:00 (UTC)",,,,,,,,52.4,,,восточный,,,1,,,,,,,,,,,20.0,700,,,26.1,,,9.0,
1595764800,"Воскресенье, 26 июля
12:00 (UTC)",,,,,,,,68.7,,,юго-западный,,,1,,,,,,,True,,,,10.0,700,,,23.9,,,10.0,
1595775600,"Воскресенье, 26 июля
15:00 (UTC)",,,,,,,,67.6,,,южный,,27.0,1,,,,3,,,,,,,20.0,700,,,24.7,,True,7.0,
1595786400,"Воскресенье, 26 июля
18:00 (UTC)",,,,,,,,84.1,,,южный,,,1,,,,,,,True,,,,10.0,701,,,21.3,,,9.0,
1595797200,"Воскресенье, 26 июля
21:00 (UTC)",,,,,,,,82.9,,,южный,,,1,,,,,,,,,,,10.0,700,,,20.3,,True,2.0,
1595808000,"Понедельник, 27 июля
00:00 (UTC)",,,,,,,,84.3,,,,,,0,,,,,,,,,,,10.0,700,,,18.8,,True,10.0,
1595818800,"Понедельник, 27 июля
03:00 (UTC)",,,,,,,,82.2,,17.6,южный,,,1,,,,менее 0.1,,3,,,,,20.0,700,,,19.1,,,7.0,
1595829600,"Понедельник, 27 июля
06:00 (UTC)",,,,,,,,62.3,,,западный,,,2,,,,,,,,,,,20.0,699,,,25.1,,,6.0,
1595840400,"Понедельник, 27 июля
09:00 (UTC)",,,,,,,,58.8,,,северо-западный,,,2,,,,,,,,,,,10.0,700,,,26.2,,,10.0,
1595851200,"Понедельник, 27 июля
12:00 (UTC)",,,,,,,,45.9,,,восточный,,,2,,,,,,,,,,,20.0,700,,,28.7,,,2.0,
1595862000,"Понедельник, 27 июля
15:00 (UTC)",,,,,,,,47.1,,,восточный,,29.7,1,,,,0,,,,,,,20.0,699,,,28.9,,,4.0,
1595872800,"Понедельник, 27 июля
18:00 (UTC)",True,34.0,,,,,,92.1,,,юго-восточный,,,2,,,,,,,,,,,4.0,703,,,18.0,,,10.0,
1595883600,"Понедельник, 27 июля
21:00 (UTC)",,,,,,,,92.1,,,южный,,,1,,,,,,,,,,,10.0,701,,,17.2,,True,2.0,
1595894400,"Вторник, 28 июля
00:00 (UTC)",,,,,,,,86.3,,,юго-западный,,,1,,,,,,,,,,,10.0,700,,,16.8,,True,0.0,
1595905200,"Вторник, 28 июля
03:00 (UTC)",,,,,,,,76.0,,15.7,южный,,,1,,,,8,,8,,,,,20.0,700,,,18.4,,,7.0,
1595916000,"Вторник, 28 июля
06:00 (UTC)",,,,,,,,69.2,,,северо-западный,,,1,,,,,,,,,,,20.0,700,,,22.2,,,2.0,
1595926800,"Вторник, 28 июля
09:00 (UTC)",,,,,,,,52.2,,,северо-западный,,,2,,,,,,,,,,,20.0,699,,,27.8,,,2.0,
1595937600,"Вторник, 28 июля
12:00 (UTC)",,,,,,,,46.1,,,северо-западный,,,2,,,,,,,,,,,20.0,698,,,29.7,,,7.0,
1595948400,"Вторник, 28 июля
15:00 (UTC)",,,,,,,,53.3,,,восточный,,30.2,2,,,,0,,,,,,,20.0,697,,,26.9,,,9.0,
1595959200,"Вторник, 28 июля
18:00 (UTC)",,,,,,,,72.7,,,,True,,0,,,,,,,,,,,10.0,698,,,21.6,,,10.0,
1595970000,"Вторник, 28 июля
21:00 (UTC)",True,10.0,,,,,,88.6,,,западный,,,4,,,,,,,,,,,10.0,702,,,17.7,,,10.0,
1595980800,"Среда, 29 июля
00:00 (UTC)",True,,,,,,,89.7,,,южный,,,3,,,,,,,,,,,10.0,700,,,17.1,,,10.0,
1595991600,"Среда, 29 июля
03:00 (UTC)",,15.0,,,,,,86.3,,16.7,западный,,,2,,,,20,,20,,,,,20.0,699,,,17.1,,True,10.0,
1596002400,"Среда, 29 июля
06:00 (UTC)",,,,,,,,83.6,,16.2,западный,,,1,,,,,,,,,,,20.0,702,,,17.0,,True,10.0,
1596013200,"Среда, 29 июля
09:00 (UTC)",,,,,,,,71.5,,,западный,,,1,,,,,,,,,,,20.0,701,,,19.6,,,10.0,
1596024000,"Среда, 29 июля
12:00 (UTC)",,,,,,,,59.6,,,северо-западный,,,1,,,,,,,,,,,20.0,702,,,21.9,,,7.0,
1596034800,"Среда, 29 июля
15:00 (UTC)",,,,,,,,59.7,,,западный,,24.2,1,,,,0,,,,,,,20.0,702,,,22.2,,,7.0,
